ID,y
465793,D
466834,A
460205,B
461567,B
467554,D
465794,D
459609,A
461869,A
461278,D
461011,B
466321,A
467685,A
467190,A
460963,A
464357,A
459510,D
460740,C
466093,A
463649,D
464656,D
466530,D
466618,C
459262,D
465429,C
462751,D
462382,C
459879,D
463314,D
462197,A
460506,A
465312,D
460274,C
465219,D
465852,A
460278,A
461990,A
465477,D
462173,A
467158,D
464502,B
461827,B
465829,B
462813,B
465444,D
462548,D
461761,D
462418,B
466865,D
459661,C
466778,A
465090,C
460381,A
462502,A
462479,C
461421,C
459717,C
463912,C
463309,C
460598,B
467801,C
464008,C
467721,A
463966,A
459683,C
465993,D
463026,D
467290,D
461930,A
462507,A
463711,A
463530,D
464627,A
461527,A
462076,A
462183,D
462616,D
464682,A
463435,D
460786,B
464448,C
459097,C
462617,D
459275,D
466823,A
466981,A
462214,A
461403,D
465638,C
459786,B
466707,A
462615,D
460981,B
459033,C
465904,A
461980,B
466787,D
459197,B
464631,B
467172,A
465394,D
463902,B
463857,B
461425,B
466992,C
467718,D
464280,A
460331,A
466425,A
467900,A
464797,A
466911,B
460339,A
460121,C
466830,D
459229,C
459752,C
464864,D
464431,C
465817,A
466619,B
466643,C
461115,D
463253,C
464413,A
467270,D
460071,A
461647,C
460747,C
467164,C
462649,D
466942,D
462881,C
462468,D
462930,C
467566,B
459041,B
464052,A
461522,B
464471,D
467956,D
466750,D
460548,D
459313,B
464747,A
463554,C
460586,D
464169,B
459897,C
459324,D
466703,C
462136,D
466569,D
460222,C
466359,D
461227,D
464331,A
460239,B
463174,A
459762,B
464105,C
459846,C
467407,A
466070,C
459622,C
465737,A
464065,D
467822,D
462427,A
466596,C
466783,D
462055,D
465830,A
461386,B
461690,D
463389,C
461638,C
463466,D
465665,A
460133,A
462982,B
459537,A
467390,B
467472,C
460675,D
465147,D
466487,D
461536,A
463140,D
466542,C
464128,B
459718,A
460762,D
459606,C
462346,A
459002,A
462572,D
465607,A
459866,C
467122,B
462440,D
466661,D
462074,C
464154,C
464199,A
463934,C
463111,A
466163,A
460721,D
466186,C
460310,D
462122,A
463717,C
460759,A
461274,C
462229,D
459198,C
460171,C
465138,A
465118,C
467489,D
464832,A
463565,D
459863,D
463689,A
460160,A
461497,D
466481,A
460636,C
459614,A
461987,B
466847,D
463299,C
464865,D
465209,C
467887,A
460479,A
463739,D
461175,D
466975,C
467881,A
464473,C
460438,B
463394,B
460875,A
467344,A
461357,D
461974,C
467388,A
463171,B
461568,C
461896,B
461002,A
461345,D
466946,C
466861,D
465633,C
460735,B
467149,B
463474,C
460128,D
463071,A
466119,A
465741,D
466760,C
459282,C
465088,C
461256,D
463192,A
467460,B
465084,C
460250,D
459755,C
466872,A
461524,A
462607,A
460761,C
462470,A
467756,C
460775,B
466248,A
460390,A
467278,C
462996,C
459227,D
461786,C
460258,D
462625,A
462511,C
461222,C
461689,A
461569,B
460202,A
465540,A
459989,C
465311,D
463158,C
462536,B
459815,A
463947,B
463060,A
465103,C
462767,D
462245,C
467643,A
462021,A
462334,B
461842,C
464215,A
464811,A
460751,A
463144,C
461420,A
464336,C
459426,D
460225,C
463431,C
466909,B
465549,D
460261,C
461580,A
466620,B
459896,A
463413,A
462571,C
464733,D
466957,B
460677,B
463745,C
461839,C
465308,D
466011,C
462164,C
463101,D
466235,B
467918,C
459512,C
467933,D
466180,A
461218,D
462932,B
463180,A
464121,A
466529,A
460037,A
467007,B
459735,A
464861,D
463985,A
465527,D
461109,D
467160,B
460541,B
461454,B
459945,B
461260,D
461838,B
465877,C
459961,B
464601,D
466886,D
460985,C
464758,A
464115,A
459077,B
465601,C
467779,C
463737,D
464402,A
463138,D
467318,A
460938,A
459550,D
460611,D
462091,D
465157,B
467892,D
460497,A
463531,D
461504,C
467700,C
464683,A
464228,D
462235,A
465491,A
462306,B
461060,C
459716,C
464509,C
467597,A
467622,C
462195,D
461988,B
463980,A
464144,C
461236,D
467170,A
459204,B
465426,D
461733,C
465449,A
465034,C
466443,C
465641,C
467506,D
466395,B
467449,A
467784,A
461297,B
464137,C
462798,C
461040,A
466158,A
466607,D
466816,C
460322,A
462345,C
460753,D
459420,A
464045,A
459220,C
466915,B
461961,A
466072,D
464397,B
459864,C
465443,A
466380,A
460112,A
459728,C
467526,D
467330,B
467155,B
462248,B
464233,C
460737,B
462113,C
461797,D
459460,A
467134,D
467225,D
459920,B
464501,D
466662,D
461292,B
467632,C
467798,D
467657,D
461265,D
463269,B
467098,A
467575,D
461140,D
463116,C
465872,D
460492,D
460635,A
462384,D
464148,C
466056,A
467778,D
462070,B
467410,A
462065,A
465269,C
465708,C
463395,D
467614,C
462523,A
464781,D
464796,A
462301,D
466560,A
459548,A
460801,A
463471,D
467557,C
462297,A
461078,D
460987,D
465943,D
461283,D
467775,A
464325,D
463704,A
460140,A
466531,C
460844,D
467321,C
466896,B
461981,D
466507,C
467497,B
461098,A
463792,A
461422,C
467848,A
459405,B
466367,A
464619,D
464872,A
466889,C
463675,A
465912,C
463149,C
464139,D
463387,D
465528,A
463499,A
461393,C
461862,A
465480,B
465761,A
461016,D
465212,C
463885,B
464487,A
465548,A
461769,A
464363,A
461415,A
460026,D
466745,B
463968,A
459193,A
467717,A
462807,D
464118,A
459977,A
461994,D
462905,A
463285,D
461927,D
460187,A
467261,C
465002,C
467695,D
467553,D
464993,B
465719,A
467536,A
461545,C
465405,D
462179,D
467291,C
466407,A
464985,C
464246,C
459456,A
465963,B
461189,A
463295,D
466494,B
462159,A
462391,D
459210,C
464201,D
466386,A
461466,B
460918,D
465268,D
461262,D
466303,C
459159,A
461142,A
467304,D
459743,C
467063,C
462853,D
463047,D
463514,C
465338,C
462308,A
459351,C
463275,A
461695,C
464296,A
462395,C
466410,C
467097,B
462585,A
459333,D
459462,C
466888,A
464505,D
462320,C
463216,A
460778,A
464687,B
467670,D
460377,A
466598,A
463405,D
461572,C
459115,C
459325,D
464787,A
463602,D
462594,A
462108,A
465354,D
466676,D
460770,D
460776,A
459001,D
466928,D
459965,A
467904,A
460803,D
467480,C
463089,C
465547,A
460784,D
465843,A
461754,B
466020,A
461609,B
461909,D
466432,A
464883,A
460780,D
466150,B
463982,D
463334,D
465309,D
467036,A
463291,B
463773,B
462057,C
463845,C
460373,D
460904,A
463778,D
462723,C
461024,A
459955,A
461366,D
461148,C
465639,B
466438,A
463736,B
465804,A
466001,A
466236,A
464705,A
464393,C
460289,B
460388,A
460996,A
466657,C
465666,A
462030,A
461325,A
460795,C
460664,D
460023,A
464952,A
464545,A
464508,C
467661,C
460242,D
461089,D
463545,D
462576,D
459360,D
459267,D
464263,A
464170,A
467189,C
462653,C
459021,A
462515,B
465945,C
465463,D
459894,D
465973,C
466622,A
463931,C
462152,D
463956,D
462788,B
462938,C
464241,C
463274,B
460362,D
462081,D
460279,A
467950,A
463509,A
467659,C
467329,A
461234,C
467486,C
460741,C
460343,C
461184,D
462916,C
466489,C
467583,A
463284,A
464193,A
460554,B
462318,B
459997,A
467322,C
465392,B
461552,C
460189,D
465248,D
467033,B
464848,A
467456,B
460041,C
463485,D
464607,C
462315,C
465259,D
459234,A
460275,C
461434,D
467359,B
462670,A
463365,B
462555,C
462084,B
463399,D
461125,A
467079,A
462621,A
460724,D
462983,C
460645,A
459695,C
464295,D
462663,A
460518,B
459255,D
467169,B
467504,D
462791,D
460590,C
460215,A
461895,A
463380,A
464893,A
466351,D
466998,C
462605,A
463175,A
460327,A
465438,D
464242,A
464606,C
460483,B
464204,C
462543,A
461338,C
462086,A
463079,D
465555,A
464523,D
459756,A
466708,A
465466,D
461251,D
467049,B
462709,D
466604,D
467307,C
460003,A
464898,D
466938,B
462385,D
461473,C
460579,B
459106,B
465786,D
461691,D
461030,D
466058,A
465734,A
465566,B
466870,C
466533,A
464231,C
465005,C
459236,B
459095,A
465204,D
462970,A
467753,C
459274,C
462073,A
463804,B
459403,C
464722,A
463699,D
463250,A
461414,D
459908,A
464235,B
463827,C
466894,B
464211,C
464028,D
461648,C
467259,C
466880,C
465188,C
459511,B
465752,B
460902,A
462953,C
461616,A
462047,B
462942,D
463097,C
464223,C
459810,D
463875,A
466345,D
467008,C
463280,B
462498,C
459369,A
462990,D
465512,B
459627,A
460315,A
460276,A
465011,C
464283,A
466658,D
466270,D
466383,D
461947,D
462189,D
464842,A
461132,B
458988,D
467816,C
462045,C
466251,D
464920,A
461186,D
465371,A
465235,C
464921,A
466479,C
467198,D
465176,C
462777,B
459534,C
466779,D
466711,B
467895,D
463628,A
466910,A
463044,C
459143,C
463329,D
466497,A
467355,D
460076,A
467431,B
461820,B
467331,D
466408,A
461430,C
466663,A
462779,B
465329,B
462763,D
459668,D
461439,C
460395,D
466115,A
465605,A
462119,A
462120,B
465122,C
460183,A
466478,C
464498,C
466667,D
460166,D
460018,B
462524,A
460057,A
463532,C
462613,A
462396,C
461352,D
461745,A
459480,A
465450,D
466885,B
459814,C
459402,C
465725,D
460568,A
466652,C
467684,D
467047,A
461100,D
466106,C
462428,C
461172,A
460929,C
461624,C
465908,A
462040,D
466904,C
460013,A
467151,A
459919,C
466905,B
467936,D
462002,A
464260,C
464179,C
466188,B
461738,C
462811,B
463088,C
459576,A
462154,B
463757,A
466678,D
459687,B
463135,C
462547,D
461976,B
464184,B
464566,B
467674,C
463411,B
464836,D
465492,A
465764,A
467631,C
460114,D
463662,B
465196,A
464671,D
466369,A
460588,D
463344,C
461259,A
460979,A
462406,D
465532,B
463045,B
459991,A
460463,A
461063,A
466454,D
463693,B
460113,C
465846,A
461835,C
466382,C
466238,D
464901,A
465855,A
461411,D
463743,A
465930,A
465860,D
460597,D
466131,A
463928,B
461825,A
465239,C
464553,B
461718,B
466046,A
465844,A
465117,C
462772,B
466650,D
461054,D
465096,A
467928,C
466664,C
463357,A
467953,A
463515,B
460096,A
465515,C
459587,A
465816,A
464433,A
467668,C
459126,B
459484,B
467018,C
460164,A
459054,B
460704,A
465578,D
461500,D
460976,D
467020,C
459073,D
460062,A
464186,B
461087,B
466049,D
461253,D
463102,A
465340,A
460793,A
464602,D
459134,C
460437,A
461018,D
461486,B
459237,A
460360,A
467369,A
461418,A
464275,D
461965,D
459549,D
466770,A
460540,B
462987,C
467342,A
460259,D
459494,A
463844,D
460141,A
464942,D
458999,C
467475,C
461800,A
461578,C
466472,A
467305,B
459878,B
461019,D
465518,C
465013,B
459209,D
459101,A
465989,D
466269,D
464546,A
461612,D
465218,C
460964,B
460663,D
460617,D
467951,D
465836,D
460551,C
460212,A
465306,B
467860,D
463708,A
462132,B
460046,C
464378,B
460448,A
466343,D
465856,B
462044,C
467857,D
460402,A
462799,D
459315,D
465911,A
466624,C
459393,D
466948,B
466701,A
465415,A
464570,A
466716,A
467751,C
466932,A
467467,D
465882,A
467436,C
461192,C
460805,D
459616,D
466430,A
462771,C
465797,C
461615,D
460906,C
463233,B
461627,A
459165,D
460429,D
464990,B
462701,B
462850,D
460256,B
463304,A
463661,C
459125,A
463103,B
460662,A
467309,A
466505,B
460955,D
465241,D
460668,D
462893,B
461941,C
461017,A
459671,B
465035,C
459230,B
459603,B
463819,A
459247,C
465751,C
466973,D
462801,B
462098,B
460484,D
464426,D
461711,A
466034,A
467471,B
464038,A
461102,B
463019,C
465762,A
463866,C
462010,A
462169,C
467551,B
465702,D
460742,B
466304,C
459486,C
459330,D
465853,A
467912,A
461050,C
463338,D
466535,A
467425,A
467795,D
467139,A
460763,B
461459,A
467550,D
466411,C
467280,D
462288,C
460229,C
464323,A
463862,C
467447,B
467949,D
466876,B
465551,C
461686,B
467319,D
465680,D
467880,C
460240,A
461891,C
461205,D
464905,A
467815,C
459714,D
467533,A
459281,A
459114,C
461583,C
467211,A
460769,B
467494,C
465859,B
461134,D
461216,A
459407,A
467311,C
463622,D
464542,D
461720,C
464255,B
467508,D
466120,D
464556,A
466924,D
460361,C
463595,D
463721,D
460573,D
467615,A
460312,A
460210,D
459523,D
463888,D
463106,A
461629,B
460604,A
460308,D
467088,B
464675,A
464124,A
463090,B
463375,A
460465,A
459528,C
466423,A
467689,D
459224,C
466552,D
464649,A
463858,C
461095,D
459239,A
467105,A
462177,A
463991,D
464210,D
467400,B
466974,B
465739,A
460864,D
467723,A
462060,C
467840,D
466564,D
460032,A
464729,D
467640,A
459898,C
465303,C
459050,D
462135,D
460152,C
459499,B
460567,A
462175,A
466073,A
466286,C
464306,A
467276,A
463981,A
460930,A
459201,C
460001,C
465156,C
459836,D
462705,B
461834,A
460560,C
