ID,v2
136,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
138,How are you with moneY...as in to you...money aint a thing....how are you sha!
139,Dunno dat's wat he told me. Ok lor...
141,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
143,When did dad get back.
144,Ok... But bag again..
145,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
149,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
153,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
155,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
159,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
160,Kallis wont bat in 2nd innings.
163,Unni thank you dear for the recharge..Rakhesh
171,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
174,Should I head straight there or what
189,Shall i come to get pickle
190,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
193,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
196,No:-)i got rumour that you going to buy apartment in chennai:-)
203,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
204,Can you do a mag meeting this avo at some point?
211,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
215,Yes. Rent is very expensive so its the way we save.
218,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
219,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different
221,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
224,I will come tomorrow di
225,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
242,"Hi elaine, is today's meeting confirmed?"
243,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
245,Cause I'm not freaky lol
246,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
248,It should take about  &lt;#&gt;  min
254,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
262,Are you going to write ccna exam this week??
266,No i am not having not any movies in my laptop
270,Nothing. Can...
272,K..i deleted my contact that why?
283,Then get some cash together and I'll text jason
286,Thanks  and ! Or bomb and date as my phone wanted to say! 
292,You still at grand prix?
296,Pls confirm the time to collect the cheque.
299,Cheers for the message Zogtorius. IåÕve been staring at my phone for an age deciding whether to text or not.
303,"Haha get used to driving to usf man, I know a lot of stoners"
305,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
309,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
312,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
315,You best watch what you say cause I get drunk as a motherfucker
334,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
347,Yeah that'd pretty much be the best case scenario
348,Hmm .. Bits and pieces lol ... *sighs* ...
349,Good morning princess! Have a great day!
350,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
353,I will once i get home
372,S..antha num corrct dane
377,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk."""
379,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"""
380,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
381,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
382,Yeah sure I'll leave in a min
384,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?
385,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
389,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne."
395,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
397,Waiting in e car 4 my mum lor. U leh? Reach home already?
399,"Yeah, we can probably swing by once my roommate finishes up with his girl"
403,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
406,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
411,Its going good...no problem..but still need little experience to understand american customer voice...
416,No no. I will check all rooms befor activities
421,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
429,<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
441,Havent shopping now lor i juz arrive only
444,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
445,Good night my dear.. Sleepwell&amp;Take care
447,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
452,Hey we can go jazz power yoga hip hop kb and yogasana 
453,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
454,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
462,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
464,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.
465,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
468,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
471,Please ask mummy to call father
473,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
480,Shuhui has bought ron's present it's a swatch watch...
482,Aight do you still want to get money
484,Dude ive been seeing a lotta corvettes lately
488,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
490,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
492,Dear i have reache room
496,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
497,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
500,Yes! How is a pretty lady like you single?
501,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
503,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
508,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.IåÕm knackered and iåÕm dreading work tonight. What are thou upto tonight. X
518,Shall i get my pouch?
521,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
522,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
528,Stupid.its not possible
529,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
531,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
532,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
534,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
535,Come to my home for one last time i wont do anything. Trust me.
536,I'm home. Doc gave me pain meds says everything is fine.
539,You have an important customer service announcement from PREMIER.
540,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
542,S now only i took tablets . Reaction morning only.
544,Thanx but my birthday is over already.
547,"accordingly. I repeat, just text the word ok on your mobile phone and send"
549,R u over scratching it?
553,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
557,Thank You meet you monday
559,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again"
560,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
563,R u here yet? I'm wearing blue shirt n black pants.
566,2marrow only. Wed at  &lt;#&gt;  to 2 aha.
568,Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
573,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
576,Okay... We wait ah
579,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with"
583,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
585,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
594,It's ok i wun b angry. Msg u aft i come home tonight.
599,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
600,"Nah I don't think he goes to usf, he lives around here though"
602,Meeting u is my work. . . Tel me when shall i do my work tomorrow
609,I will reach before ten morning
614,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
620,I wil be there with in  &lt;#&gt;  minutes. Got any space
625,You can never do NOTHING
629,Thank you. I like you as well...
630,K I'll call you when I'm close
635,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\"""""
636,Yes princess! I want to please you every night. Your wish is my command...
637,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
640,I'm fine. Hope you are good. Do take care.
650,Most of the tiime when i don't let you hug me it's so i don't break into tears.
652,Hey i'm bored... So i'm thinking of u... So wat r u doing?
659, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
661,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
662,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here
667,Happy new year to u too!
669,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week
676,"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply"
679,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
684,"Pls send me a comprehensive mail about who i'm paying, when and how much."
685,That seems unnecessarily hostile
691,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50
705,"Bill, as in: Are there any letters for me. iÛªm expecting one from orange that isnÛªt a bill but may still say orange on it."
717,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
719,Ha... U jus ate honey ar? So sweet...
726,Probably earlier than that if the station's where I think it is
727,Do u noe wat time e place dat sells 4d closes?
728,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...
729,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
730,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
732,Even if he my friend he is a priest call him now
736,Yes princess! I want to catch you with my big strong hands...
738,For fear of fainting with the of all that housework you just did? Quick have a cuppa
752,Am I the only one who doesn't stalk profiles?
764,Yar lor... How u noe? U used dat route too?
769,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn"""
772,Lol boo I was hoping for a laugh
774,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
777,"A few people are at the game, I'm at the mall with iouri and kaila"
781,"Good stuff, will do."
795,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
800,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
807,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
812,"Yeah, probably earlier than that"
813,Are you angry with me. What happen dear
818,If u sending her home first it's ok lor. I'm not ready yet.
826,I had askd u a question some hours before. Its answer
830,Thats cool. I want to please you...
841,I'm home. Ard wat time will u reach?
842,"Just wondering, the others just took off"
843,i thought we were doing a king of the hill thing there.
844,Ugh hopefully the asus ppl dont randomly do a reformat.
850,Thank god they are in bed!
853,Ok then i come n pick u at engin?
855,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.
862,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
863,If india win or level series means this is record:)
864,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
865,ÌÏ predict wat time Ì_'ll finish buying?
867,"Sir, I need AXIS BANK account no and bank address."
868,We are okay. Going to sleep now. Later
872,They r giving a second chance to rahul dengra.
874,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
879,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
883,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
884,Then. You are eldest know.
892,Those were my exact intentions
896,No no. I will check all rooms befor activities
897,Crucify is c not s. You should have told me earlier.
899,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*"
900,We still on for tonight?
907,My exam is for february 4. Wish you a great day.
911,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ "
915,Sent me ur email id soon
919,I'm not coming home 4 dinner.
934,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
940,"Sorry, I'll call later ok bye"
943,I anything lor.
945,on a Tuesday night r u 4 real
950,Kinda. First one gets in at twelve! Aah. Speak tomo
963,Audrie lousy autocorrect
966,Yes there were many sweets
972,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
977,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
978,One small prestige problem now.
980,I cant pick the phone right now. Pls send a message
986,Also that chat was awesome but don't make it regular unless you can see her in person
992,You have 1 new voicemail. Please call 08719181513.
993,That's significant but dont worry.
995,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
1002,"There'll be a minor shindig at my place later tonight, you interested?"
1003,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
1004,I need details about that online job.
1006,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
1009,Hope you are having a good week. Just checking in
1013,Sorry i din lock my keypad.
1014,Ok. I asked for money how far
1015,I'm done. C Ì_ there.
1023,Anything lor... U decide...
1035,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
1043,Geeeee ... I love you so much I can barely stand it
1044,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
1051,You made my day. Do have a great day too.
1052,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
1066,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
1067,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
1068,Im done. Just studyn in library
1070,Having lunch:)you are not in online?why?
1076,I cant pick the phone right now. Pls send a message
1085,"Dizzamn, aight I'll ask my suitemates when I get back"
1086,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
1088,Hi. Hope you had a good day. Have a better night.
1092,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
1096,So i could kiss and feel you next to me...
1097,I cant pick the phone right now. Pls send a message
1099,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
1109,Or just do that 6times
1110,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
1115,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
1117,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
1120,Yo im right by yo work
1122,He also knows about lunch menu only da. . I know
1123,Oh yeah! And my diet just flew out the window
1124,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
1140,Tell me whos this pls:-)
1142,Only once then after ill obey all yours.
1146,Ok.ok ok..then..whats ur todays plan
1161,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
1162,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
1171,This is my number by vivek..
1173,I'm going out to buy mum's present ar.
1177,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
1178,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p"
1181,So how are you really. What are you up to. How's the masters. And so on.
1186,Yup...
1190,Hey i will be late ah... Meet you at 945+
1192,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!
1193,Yar... I tot u knew dis would happen long ago already.
1197,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).
1198,Can you please send me my aunty's number
1204,I had askd u a question some hours before. Its answer
1207,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
1217,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
1224,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
1225,Does uncle timi help in clearing cars
1235,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
1247,Oh ok.. Wat's ur email?
1248,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
1249,I told that am coming on wednesday.
1260,Hey happy birthday...
1262,Ok lor.
1263,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
1268,Dude we should go sup again
1271,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
1273,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
1276,Ok then i'll let him noe later n ask him call u tmr...
1282,Is toshiba portege m100 gd?
1283,Joy's father is John. Then John is the NAME of Joy's father. Mandan
1285,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho"
1286,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
1289,Yeah just open chat and click friend lists. Then make the list. Easy as pie
1291,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
1295,\alright babe
1299,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
1300,I think it's all still in my car
1304,We will meet soon princess! Ttyl!
1327,S s..first time..dhoni rocks...
1328,U're welcome... Caught u using broken english again...
1329,;-) ok. I feel like john lennon.
1331,:( but your not here....
1333,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
1337,"Yes, princess. Are you going to make me moan?"
1344,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
1359,"Its ok., i just askd did u knw tht no?"
1363,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
1364,Just curious because my cuz asked what I was up to
1368, what number do u live at? Is it 11?
1371,Leave it. U will always be ignorant.
1380,Got it..mail panren paru..
1387,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!"
1391,What time should I tell my friend to be around?
1392,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
1394,I'll text you when I drop x off
1399,How much for an eighth?
1412,You call him now ok i said call him
1415,i cant talk to you now.i will call when i can.dont keep calling.
1419,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
1420,But i dint slept in afternoon.
1422,Oh ho. Is this the first time u use these type of words
1423,Unlimited texts. Limited minutes.
1428,"Sorry, I'll call later in meeting."
1431,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
1434,Dunno lei he neva say...
1443,Who's there say hi to our drugdealer
1451,3. You have received your mobile content. Enjoy
1453,"Playin space poker, u?"
1454,"Sorry, I'll call you  later. I am in meeting sir."
1458,K come to nordstrom when you're done
1462,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
1466,Please dont say like that. Hi hi hi
1472,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
1476,Pandy joined 4w technologies today.he got job..
1483,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
1485,"Oh fine, I'll be by tonight"
1494,Oh is it? Send me the address
1508,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
1512,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
1514,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!"
1515,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
1516,And several to you sir.
1517,Why do you ask princess?
1520,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
1521,Do you know when dad will be back?
1522,I am in office:)whats the matter..msg me now.i will call you at break:).
1527,"How long has it been since you screamed, princess?"
1530,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
1534,Ok... Then r we meeting later?
1537,Just finished. Missing you plenty
1543,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
1546,I am on the way to ur home
1552,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
1557,Yes just finished watching days of our lives. I love it.
1560,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
1564,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks
1565,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
1568,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel
1570,I've got it down to a tea. not sure which flavour
