ID,v1,v2
295,ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
297,ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
298,ham,Then mum's repent how?
300,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
301,ham,Oooh I got plenty of those!
302,ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
304,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
306,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
307,ham,Not directly behind... Abt 4 rows behind Ì_...
308,ham,No he didn't. Spring is coming early yay!
310,ham,Good. do you think you could send me some pix? I would love to see your top and bottom...
311,ham,"Velly good, yes please!"
313,spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
314,ham,"\I;m reaching in another 2 stops.\"""""
316,spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
317,ham,I was slept that time.you there?
318,ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
319,ham,ÌÏ still got lessons?  ÌÏ in sch?
320,ham,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you"
321,ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
322,ham,What time you think you'll have it? Need to know when I should be near campus
323,ham,Am surfing online store. For offers do you want to buy any thing.
324,spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
325,ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
326,spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611 
327,ham,I send the print  outs da.
328,spam,You have 1 new message. Please call 08718738034.
329,ham,That's necessarily respectful
330,spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
331,ham,I want to be inside you every night...
332,ham,Are you available for soiree on June 3rd?
333,ham,"Not much, just some textin'. How bout you?"
335,spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
336,ham,Webpage s not available!
337,spam,You have 1 new message. Please call 08712400200.
338,ham,Msg me when rajini comes.
339,ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free
340,ham,I am on the way to ur home
341,ham,Oh really?? Did you make it on air? What's your talent?
342,ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_"
343,ham,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
344,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
345,ham,Once free call me sir. I am waiting for you.
346,spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
351,ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
352,ham,Don know..he is watching film in computer..
354,ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
355,ham,I love you both too :-)
356,ham,Nothing just getting msgs by dis name wit different no's..
357,ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
358,ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
359,ham,Yunny... I'm goin to be late
360,ham,"That's good, because I need drugs"
361,ham,"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
362,ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
363,ham,Lmao but its so fun...
364,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
365,ham,Very hurting n meaningful lines ever: \I compromised everything for my love
366,ham,Oh... Kay... On sat right?
367,spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
368,ham,Thanx 4 sending me home...
369,ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
370,spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
371,ham,Tmrw. Im finishing 9 doors
373,ham,I know you are. Can you pls open the back?
374,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589"
375,spam,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
376,spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
378,ham,No but the bluray player can
383,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
386,ham,Must come later.. I normally bathe him in da afternoon mah..
387,ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
388,ham,I have lost 10 kilos as of today!
390,ham,Annoying isn't it.
391,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
392,ham,Erm. I thought the contract ran out the4th of october.
393,ham,He is world famamus....
394,ham,Are you still playing with gautham?
396,ham,I'm really sorry I lit your hair on fire
398,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
400,ham,"Cool, what time you think you can get here?"
401,spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
402,ham,Go fool dont cheat others ok
404,spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
405,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
407,ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
408,ham,Do you work all this week ?
409,ham,Rofl betta invest in some  anti aging products
410,ham,Hmm ill have to think about it... ok you're forgiven! =D
412,ham,"Sorry, I'll call later"
413,ham,K..k:)how about your training process?
414,ham,How many times i told in the stage all use to laugh. You not listen aha.
415,ham,I'll be late...
417,ham,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\"""""
418,spam,You have 1 new voicemail. Please call 08719181513.
419,ham,"Yeah that's what I thought, lemme know if anything's goin on later"
420,ham,I sent them. Do you like?
422,ham,I am not having her number sir
423,ham,Nan sonathaya soladha. Why boss?
424,ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
425,spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
426,ham,Now thats going to ruin your thesis!
427,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
428,spam,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
430,ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
431,spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
432,spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50
433,ham,Then cant get da laptop? My matric card wif Ì_ lei... 
434,ham,"K, want us to come by now?"
435,ham,Hey... Very inconvenient for your sis a not huh?
436,ham,Good evening! this is roger. How are you?
437,ham,Oh god i am happy to see your message after 3 days
438,ham,No no. I will check all rooms befor activities
439,ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
440,ham,"That's cool he'll be here all night, lemme know when you're around"
442,ham,jay says he'll put in  &lt;#&gt;
443,ham,Doing my masters. When will you buy a bb cos i have for sale and how's bf
446,ham,Just haven't decided where yet eh ?
448,ham,I don't know but I'm raping dudes at poker
449,ham,You could have seen me..i did't recognise you Face.:)
450,ham,Wait  &lt;#&gt;  min..
451,ham,Excellent! Wish we were together right now!
455,spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
456,ham,Another month. I need chocolate weed and alcohol.
457,ham,When should I come over?
458,ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS
459,ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
460,spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
