index,Name,Platform,Year_of_Release,Genre,Publisher,JP_Sales,Critic_Score,Critic_Count,Global_Sales
13462,River City Soccer Hooligans,DS,2010.0,Sports,Arc System Works,0.01,,,0.05
4456,Mobile Suit Gundam: One Year War,PS2,2005.0,Action,Namco Bandai Games,0.44,,,0.44
11430,Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,DS,2007.0,Role-Playing,Banpresto,0.08,,,0.08
6804,Disney Stitch Jam,DS,2009.0,Misc,Disney Interactive Studios,0.16,,,0.24
15498,Lara Croft and the Temple of Osiris,PC,2014.0,Action,Square Enix,0.0,73.0,17.0,0.02
6075,Spyro: A Hero's Tail,GC,2004.0,Platform,Vivendi Games,0.0,62.0,13.0,0.29
9301,Salt Lake 2002,PS2,2002.0,Sports,Eidos Interactive,0.0,49.0,11.0,0.14
3032,Blazing Angels: Squadrons of WWII,PS3,2006.0,Simulation,Ubisoft,0.0,67.0,26.0,0.66
14638,BeatMania IIDX 15: DJ Troopers,PS2,2008.0,Simulation,Konami Digital Entertainment,0.03,,,0.03
7170,Spider-Man: Edge of Time,PS3,2011.0,Action,Activision,0.0,58.0,43.0,0.22
13178,Odoru Daisousasen The Game: Sensuikan ni Sennyuu Seyo!,DS,2010.0,Adventure,Namco Bandai Games,0.05,,,0.05
15822,Digimon Rumble Arena,PS,2001.0,Fighting,Namco Bandai Games,0.0,64.0,5.0,0.02
15950,Dragon's Dogma Online: Season 2,PS4,2016.0,Action,Capcom,0.02,,,0.02
13246,Harukanaru Toki no Naka de: Yumenoukihashi,DS,2008.0,Adventure,Tecmo Koei,0.05,,,0.05
5957,Kurohyou: Ryu ga Gotoku Shinshou,PSP,2010.0,Adventure,Sega,0.29,,,0.29
10357,Reign of Fire,GC,2002.0,Shooter,BAM! Entertainment,0.0,54.0,9.0,0.11
4024,Dragon Ball Z: Supersonic Warriors 2,DS,2005.0,Fighting,Atari,0.32,66.0,13.0,0.49
15682,Heavy Fire: Afghanistan,PC,2011.0,Shooter,Mastiff,0.0,,,0.02
8157,College Hoops 2K7,PS3,2007.0,Sports,Take-Two Interactive,0.0,81.0,9.0,0.18
4880,Mass Effect 2,PC,2010.0,Role-Playing,Electronic Arts,0.0,94.0,55.0,0.39
12421,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016.0,Action,Namco Bandai Games,0.06,,,0.06
2617,Secret Agent Barbie: Royal Jewels Mission,GBA,2002.0,Platform,Vivendi Games,0.0,71.0,4.0,0.78
3311,Harry Potter and the Goblet of Fire,GBA,2005.0,Action,Electronic Arts,0.0,71.0,9.0,0.61
3157,Dishonored 2,PS4,2016.0,Action,Bethesda Softworks,0.0,88.0,56.0,0.64
5438,NHL 09,PS3,2008.0,Sports,Electronic Arts,0.0,88.0,25.0,0.33
7541,CSI: Deadly Intent,X360,2009.0,Adventure,Ubisoft,0.0,,,0.2
4013,Super Monkey Ball 3D,3DS,2011.0,Action,Sega,0.05,55.0,57.0,0.49
16637,SBK Superbike World Championship,PSP,2008.0,Racing,Black Bean Games,0.0,,,0.01
10177,Astro Boy: The Video Game,PS2,2009.0,Action,D3Publisher,0.0,56.0,4.0,0.11
9596,Soccer Tsuku: Pro Soccer Club o Tsukurou!,PS3,2013.0,Sports,Sega,0.13,,,0.13
13027,Walt Disney Pictures Presents Enchanted,DS,2007.0,Platform,Disney Interactive Studios,0.0,,,0.05
3118,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014.0,Action,Disney Interactive Studios,0.0,,,0.65
7175,Yu-Gi-Oh! GX: Tag Force 3,PSP,2008.0,Strategy,Konami Digital Entertainment,0.18,,,0.22
3750,Jampack Volume 11,PS2,2004.0,Misc,Sony Computer Entertainment,0.0,,,0.53
11161,Jikkyou Powerful Pro Yakyuu 2012,PSV,2012.0,Action,Konami Digital Entertainment,0.09,,,0.09
2553,SingStar Vol. 2,PS3,2008.0,Misc,Sony Computer Entertainment,0.0,76.0,36.0,0.81
6226,One Piece: Unlimited World Red,PS3,2014.0,Action,Namco Bandai Games,0.06,71.0,28.0,0.28
14557,Pop'n Music 14 Fever!,PS2,2007.0,Misc,Konami Digital Entertainment,0.03,,,0.03
5303,Saban's Power Rangers: Lightspeed Rescue,PS,2000.0,Action,THQ,0.0,,,0.35
12276,Alan Wake,PC,2012.0,Action,Nordic Games,0.0,83.0,30.0,0.06
16228,Ninja Gaiden Sigma 2,PSV,2013.0,Action,Tecmo Koei,0.01,,,0.01
5543,Golden Axe: Beast Rider,X360,2008.0,Action,Sega,0.0,45.0,33.0,0.33
1387,Madden NFL 2002,PS,2001.0,Sports,Electronic Arts,0.0,88.0,9.0,1.39
2294,Marvel: Ultimate Alliance 2,X360,2009.0,Role-Playing,Activision,0.0,73.0,75.0,0.9
5243,Formula 1 Championship Edition,PS,1997.0,Racing,Psygnosis,0.23,,,0.36
4681,Battlefield: Hardline,PS3,2015.0,Shooter,Electronic Arts,0.07,,,0.41
5419,Disney Sing It: Pop Hits,PS2,2009.0,Misc,Disney Interactive Studios,0.0,,,0.34
5476,World Stadium 3,PS,1999.0,Sports,Namco Bandai Games,0.31,,,0.33
10259,GiFTPiA,GC,,Role-Playing,Unknown,0.11,,,0.11
8264,The King of Fighters '97,SAT,1998.0,Fighting,SNK,0.17,,,0.17
11856,Harlem Globetrotters: World Tour,DS,2006.0,Sports,Zoo Digital Publishing,0.0,,,0.07
1402,Paper Mario,N64,2000.0,Role-Playing,Nintendo,0.59,,,1.38
14333,Disney Sports Soccer,GC,2002.0,Sports,Konami Digital Entertainment,0.0,75.0,7.0,0.03
3368,Wipeout: The Game,DS,2010.0,Misc,Activision,0.0,,,0.6
6366,Final Fantasy XI: Ultimate Collection,X360,2009.0,Role-Playing,Square Enix,0.0,,,0.27
7902,Tamagotchi Party On!,Wii,2006.0,Misc,Namco Bandai Games,0.06,,,0.19
8572,Sengoku Basara: Chronicle Heroes,PSP,2011.0,Action,Capcom,0.16,,,0.16
15234,Ukiyo no Roushi,PSV,2015.0,Action,Unknown,0.02,,,0.02
5828,Virtua Cop 2,SAT,1996.0,Shooter,Sega,0.3,,,0.3
16168,Shitsuji ga Aruji o Erabu Toki,PSV,2016.0,Adventure,Unknown,0.01,,,0.01
5428,Disney Magic World 2,3DS,2015.0,Action,Nintendo,0.19,,,0.34
11399,Dream Day: Wedding Destinations,DS,2009.0,Simulation,THQ,0.0,,,0.08
2630,Drawn to Life,DS,2007.0,Action,THQ,0.0,73.0,34.0,0.78
11713,Krazy Ivan,PS,1995.0,Simulation,Psygnosis,0.0,,,0.08
188,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.03,85.0,72.0,5.19
6455,Deadly Premonition,X360,2010.0,Action,Rising Star Games,0.0,68.0,39.0,0.26
14240,Cabela's Outdoor Adventures,GC,2005.0,Sports,Activision,0.0,,,0.03
13007,UEFA Champions League 2006-2007,X360,2007.0,Sports,Electronic Arts,0.0,72.0,27.0,0.05
7510,NASCAR Heat 2002,XB,2001.0,Racing,Infogrames,0.0,78.0,18.0,0.2
6920,Sesame Street: Elmo's Number Journey,PS,1998.0,Misc,NewKidCo,0.0,,,0.24
10286,Hollywood Squares,Wii,2010.0,Misc,Ubisoft,0.0,,,0.11
10513,Astro Boy: The Video Game,DS,2009.0,Action,D3Publisher,0.0,34.0,9.0,0.1
5105,Skate,PS3,2007.0,Sports,Electronic Arts,0.0,85.0,31.0,0.37
3076,Plants vs. Zombies: Garden Warfare,PS3,2014.0,Shooter,Electronic Arts,0.01,,,0.66
10438,Ski-Doo Snowmobile Challenge,PS3,2009.0,Racing,PQube,0.0,,,0.1
3970,Rugrats in Paris: The Movie,N64,2000.0,Action,THQ,0.0,,,0.5
10047,Pac 'n Roll,DS,2005.0,Platform,Namco Bandai Games,0.02,72.0,35.0,0.11
13629,Kanuchi: Shiroki Tsubasa no Shou,PS2,2008.0,Adventure,Idea Factory,0.04,,,0.04
3714,Bust A Groove,PS,1998.0,Misc,Sony Computer Entertainment,0.35,,,0.54
6533,Oddworld: Stranger's Wrath,XB,2005.0,Adventure,Electronic Arts,0.0,88.0,65.0,0.26
9130,Gundam: The Battle Master,PS,1997.0,Fighting,Namco Bandai Games,0.13,,,0.14
2627,Battle Stations,PS,1997.0,Strategy,Electronic Arts,0.0,,,0.78
16501,Dungeon Explorer: Warriors of Ancient Arts,PSP,2007.0,Role-Playing,Rising Star Games,0.0,56.0,13.0,0.01
4273,Tomb Raider: Legend,PSP,2006.0,Action,Eidos Interactive,0.0,67.0,28.0,0.46
4392,Skylanders: Trap Team,PS4,2014.0,Action,Activision,0.0,78.0,46.0,0.44
5554,Might & Magic Heroes VI,PC,2011.0,Role-Playing,Ubisoft,0.0,,,0.32
5849,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016.0,Fighting,Namco Bandai Games,0.0,81.0,11.0,0.3
15160,Cities XL 2011,PC,2010.0,Simulation,Focus Home Interactive,0.0,70.0,17.0,0.02
7107,NBA ShootOut 2003,PS2,2002.0,Sports,Sony Computer Entertainment,0.0,62.0,22.0,0.23
3865,Way of the Samurai 3,PS3,2008.0,Action,Gamebridge,0.22,58.0,18.0,0.52
15382,Casper: Spirit Dimensions,GC,2002.0,Platform,TDK Mediactive,0.0,,,0.02
9682,Fire ProWrestling S: 6Men Scramble,SAT,1996.0,Fighting,Human Entertainment,0.12,,,0.12
15526,Devil Survivor: Over Clock,3DS,2015.0,Strategy,Atlus,0.02,,,0.02
153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,1.36,89.0,8.0,5.74
9340,Nicktoons: MLB,X360,2011.0,Sports,Take-Two Interactive,0.0,,,0.13
1701,WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,THQ,0.0,68.0,11.0,1.19
8920,The Legend of Heroes: Trails of Cold Steel II,PS3,2014.0,Role-Playing,Nippon Ichi Software,0.11,90.0,4.0,0.15
8418,Nobunaga no Yabou: Tenshoki,SNES,1996.0,Strategy,Tecmo Koei,0.17,,,0.17
2232,Lego Batman 3: Beyond Gotham,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.0,73.0,43.0,0.93
9472,Ben 10 Galactic Racing,DS,2011.0,Racing,D3Publisher,0.0,,,0.13
10365,Pro Yakyuu Team o Tsukurou! 2,DS,2009.0,Sports,Sega,0.11,,,0.11
12082,Spartan: Total Warrior,GC,2005.0,Action,Sega,0.0,73.0,24.0,0.07
13642,No Rules: Get Phat,GBA,2001.0,Action,TDK Mediactive,0.0,,,0.04
7757,We Wish You A Merry Christmas,Wii,2009.0,Action,Destineer,0.0,,,0.19
10774,Jikkyou Powerful Pro Yakyuu 2013,PSV,2013.0,Sports,Konami Digital Entertainment,0.1,,,0.1
3326,Shadow The Hedgehog,PS2,2005.0,Platform,Sega,0.0,45.0,28.0,0.6
7958,Harry Potter: Quidditch World Cup,XB,2003.0,Sports,Electronic Arts,0.0,69.0,14.0,0.19
15623,Rozen Maiden: Duellwalzer,PS2,2006.0,Adventure,Taito,0.02,,,0.02
14375,Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,1996.0,Misc,ASK,0.03,,,0.03
13119,Prism: Light the Way,DS,2007.0,Puzzle,Eidos Interactive,0.0,73.0,21.0,0.05
12673,Syphon Filter: Logan's Shadow,PS2,2010.0,Shooter,Sony Computer Entertainment,0.0,,,0.06
581,ESPN NFL 2K5,PS2,2004.0,Sports,Sega,0.0,90.0,37.0,2.62
2916,Call of Duty: Ghosts,PC,2013.0,Shooter,Activision,0.0,,,0.7
10538,Miami Law,DS,2009.0,Adventure,Konami Digital Entertainment,0.0,56.0,14.0,0.1
4831,Rapala Pro Bass Fishing 2010,X360,2010.0,Sports,Activision,0.0,,,0.4
7240,NBA Live 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.0,51.0,11.0,0.22
10485,G1 Jockey 3,PS2,2002.0,Sports,THQ,0.07,71.0,12.0,0.1
2595,Dance Dance Revolution SuperNOVA 2,PS2,2007.0,Simulation,Konami Digital Entertainment,0.02,70.0,10.0,0.79
13096,Tennis no Oji-Sama: 2005 Crystal Drive,DS,2004.0,Sports,Konami Digital Entertainment,0.05,,,0.05
8136,Fireblade,PS2,2002.0,Action,Midway Games,0.0,,,0.18
7010,Game & Wario,WiiU,2013.0,Misc,Nintendo,0.12,,,0.23
10964,Football Manager 2017,PC,2016.0,Simulation,Sega,0.0,81.0,41.0,0.09
15282,Knight's Apprentice: Memorick's Adventures,XB,2004.0,Action,Microids,0.0,53.0,11.0,0.02
2101,Mario Party Advance,GBA,2005.0,Misc,Nintendo,0.28,54.0,27.0,0.98
13795, Haikyu!! Cross Team Match!,3DS,2016.0,Adventure,Namco Bandai Games,0.04,,,0.04
4503,My Spanish Coach,DS,2007.0,Misc,Ubisoft,0.0,73.0,7.0,0.43
9223,RockMan & Forte,SNES,1998.0,Platform,Capcom,0.14,,,0.14
6974,Hatsune Miku: Project Diva f,PSV,2012.0,Misc,Sega,0.23,81.0,10.0,0.23
5706,Jikkyou Powerful Pro Yakyuu 14,PS2,2007.0,Sports,Konami Digital Entertainment,0.31,,,0.31
1654,Final Fantasy IV,DS,2007.0,Simulation,Square Enix,0.62,85.0,52.0,1.21
9650,Puella Magi Madoka Magica Portable,PSP,2012.0,Role-Playing,Namco Bandai Games,0.12,,,0.12
3882,Epic Mickey 2: The Power of Two,X360,2012.0,Action,Disney Interactive Studios,0.0,59.0,35.0,0.51
6361,XGIII: Extreme G Racing,PS2,2001.0,Racing,Acclaim Entertainment,0.0,,,0.27
14435,RoadKill,GC,2003.0,Action,Midway Games,0.0,64.0,12.0,0.03
2238,Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.0,89.0,38.0,0.93
8090,Re-Volt,N64,1999.0,Racing,Acclaim Entertainment,0.0,,,0.18
13855,Pure Pinball,XB,2004.0,Misc,XS Games,0.0,68.0,11.0,0.04
3002,Fight Night Round 2004,XB,2004.0,Fighting,Electronic Arts,0.0,,,0.67
2411,SingStar '90s,PS2,2007.0,Misc,Sony Computer Entertainment,0.0,73.0,29.0,0.87
15932,Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010.0,Misc,Alchemist,0.02,,,0.02
2584,Harvest Moon: A Wonderful Life,GC,2003.0,Role-Playing,Ubisoft,0.0,79.0,28.0,0.79
2643,Andretti Racing,PS,1996.0,Racing,Electronic Arts,0.0,,,0.77
6434,Aikatsu! 2-nin no My Princess,3DS,2013.0,Action,Namco Bandai Games,0.26,,,0.26
7468,NHL 2003,XB,2002.0,Sports,Electronic Arts,0.0,80.0,12.0,0.21
1238,Fight Night Round 4,PS3,2009.0,Fighting,Electronic Arts,0.0,88.0,46.0,1.52
5563,Def Jam Rapstar,PS3,2010.0,Misc,Konami Digital Entertainment,0.0,75.0,25.0,0.32
10358,Naruto Shippuden: Naruto vs. Sasuke,DS,2008.0,Action,Takara Tomy,0.03,64.0,7.0,0.11
10310,Rock Band: Metal Track Pack,Wii,2009.0,Misc,MTV Games,0.0,,,0.11
14712,Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,PSP,2010.0,Adventure,Idea Factory,0.03,,,0.03
9177,Hot Wheels: Beat That!,Wii,2007.0,Racing,Activision,0.0,,,0.14
14417,Hiiro no Kakera 2: Hisui no Shizuku,PS2,2007.0,Adventure,Idea Factory,0.03,,,0.03
1202,Tom Clancy's Rainbow Six 3,XB,2003.0,Shooter,Ubisoft,0.0,86.0,39.0,1.55
16020,Moe Moe 2-ji Taisen (Ryoku) * Deluxe,PSP,2008.0,Adventure,System Soft,0.02,,,0.02
1750,Mega Man X,SNES,1993.0,Platform,Capcom,0.5,,,1.16
14845,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,PS2,2006.0,Adventure,Konami Digital Entertainment,0.03,,,0.03
15414,World Championship Poker featuring Howard Lederer: All In,Wii,2006.0,Misc,505 Games,0.0,,,0.02
1270,Dead Rising 2,X360,2010.0,Action,Capcom,0.09,79.0,76.0,1.49
16525,ESPN NBA 2Night 2002,XB,2002.0,Sports,Konami Digital Entertainment,0.0,,,0.01
9153,Micro Machines 64 Turbo,N64,1999.0,Racing,Codemasters,0.0,,,0.14
16375,Curse of the Amsterdam Diamond,DS,2012.0,Puzzle,Easy Interactive,0.0,,,0.01
5023,MX vs. ATV Untamed,PS2,2007.0,Racing,THQ,0.0,53.0,13.0,0.38
11579,UEFA Euro 2016,PS3,2016.0,Sports,Konami Digital Entertainment,0.03,,,0.08
7094,NCAA GameBreaker 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.0,61.0,15.0,0.23
14949,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016.0,Misc,Namco Bandai Games,0.03,,,0.03
276,Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,0.57,80.0,67.0,4.19
812,The Sims 2: Pets,DS,2006.0,Simulation,Electronic Arts,0.0,49.0,5.0,2.07
4139,Spider-Man 3,Wii,2007.0,Platform,Activision,0.0,53.0,39.0,0.47
1483,TOCA 2: Touring Cars,PS,1998.0,Racing,Codemasters,0.02,,,1.32
532,Monster Hunter Tri,3DS,2011.0,Role-Playing,Nintendo,1.96,,,2.79
2712,Harry Potter and the Half-Blood Prince,Wii,2009.0,Action,Electronic Arts,0.0,60.0,35.0,0.75
722,Spyro: Season of Ice,GBA,2001.0,Platform,Vivendi Games,0.0,74.0,16.0,2.23
16449,Natsuzora no Monologue,PSP,2013.0,Adventure,Otomate,0.01,,,0.01
14251,An American Tail: Fievel's Gold Rush,GBA,2002.0,Platform,Conspiracy Entertainment,0.0,,,0.03
8965,Darkstalkers Chronicle: The Chaos Tower,PSP,2004.0,Fighting,Capcom,0.0,74.0,27.0,0.15
11097,Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,PS2,2007.0,Misc,Hackberry,0.09,,,0.09
4166,Bomberman Hero,N64,1998.0,Platform,Nintendo,0.08,,,0.47
13876,Grand Theft Auto: Vice City,PC,2003.0,Action,Take-Two Interactive,0.0,94.0,30.0,0.04
15117,Here They Lie,PS4,2016.0,Adventure,Sony Computer Entertainment,0.0,62.0,31.0,0.02
8496,F1 2011,3DS,2011.0,Racing,Codemasters,0.0,59.0,15.0,0.16
14267,Dream C Club Zero,X360,2011.0,Simulation,D3Publisher,0.03,,,0.03
9981,Dorabase 2: Nettou Ultra Stadium,DS,2009.0,Sports,Namco Bandai Games,0.12,,,0.12
14945,Let's Play Ballerina,Wii,2010.0,Sports,Deep Silver,0.0,,,0.03
5214,LEGO Racers,PS,1999.0,Racing,LEGO Media,0.0,,,0.36
1911,Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Electronic Arts,0.0,69.0,6.0,1.08
5807,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009.0,Misc,Mentor Interactive,0.0,,,0.31
12080,Billy's Boot Camp: Wii de Enjoy Diet!,Wii,2011.0,Sports,Rocket Company,0.07,,,0.07
7367,SBK X: Superbike World Championship,PS3,2010.0,Racing,Black Bean Games,0.0,73.0,4.0,0.21
10153,The History Channel: Battle for the Pacific,Wii,2007.0,Shooter,Activision,0.0,,,0.11
7,Wii Play,Wii,2006.0,Misc,Nintendo,2.93,58.0,41.0,28.92
11374,Blades of Blood: Samurai Shodown III,PS,1995.0,Fighting,Sony Computer Entertainment,0.0,,,0.08
15012,Let's Play Garden,Wii,2010.0,Simulation,Deep Silver,0.0,,,0.02
13129,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,3DS,2015.0,Action,Alchemist,0.05,,,0.05
13372,Shin Hayarigami,PSV,2014.0,Adventure,Nippon Ichi Software,0.05,,,0.05
11921,Tom Clancy's Ghost Recon 2,GC,2005.0,Shooter,Ubisoft,0.0,54.0,10.0,0.07
12449,Mad Maestro!,PS2,2001.0,Misc,Eidos Interactive,0.0,,,0.06
14745,Vitamin Z,PS2,2009.0,Adventure,D3Publisher,0.03,,,0.03
9703,Wild ARMs 5 (jp sales),PS2,2006.0,Role-Playing,505 Games,0.12,,,0.12
2856,Blur,PS3,2010.0,Racing,Activision,0.02,81.0,58.0,0.72
12188,Kanji Sonomama DS Rakubiki Jiten,DS,2006.0,Misc,Nintendo,0.07,,,0.07
15777,Mystery Tales 2: The Spirit Mask,DS,2011.0,Puzzle,Unknown,0.0,,,0.02
8040,Chocobo no Fushigi Dungeon for WonderSwan,WS,1999.0,Role-Playing,Namco Bandai Games,0.18,,,0.18
4431,Grind Session,PS,2000.0,Sports,Sony Computer Entertainment,0.0,,,0.44
9211,Agile Warrior F-111X,PS,1995.0,Simulation,Virgin Interactive,0.0,,,0.14
13837,Katekyoo Hitman Reborn! Battle Arena 2 - Spirits Burst,PSP,2009.0,Fighting,Marvelous Interactive,0.04,,,0.04
1961,DiRT 3,PS3,2011.0,Racing,Codemasters,0.01,87.0,52.0,1.06
6137,Reel Fishing: Angler's Dream,Wii,2009.0,Sports,Zushi Games,0.0,,,0.28
15766,Moe Star: Moeru Toudai Eigojuku,DS,2008.0,Misc,Mirai Shounen,0.02,,,0.02
8451,Itoi Shigesato no Bass Tsuri No. 1,SNES,1997.0,Sports,Nintendo,0.17,,,0.17
9971,Madden NFL 17,PS3,2016.0,Sports,Electronic Arts,0.0,,,0.12
12580,A New Beginning,PC,2010.0,Adventure,Deep Silver,0.0,,,0.06
7695,Mahjongg Mysteries: Ancient Egypt,DS,2010.0,Puzzle,Avanquest,0.0,,,0.2
8077,Jeopardy!,DS,2010.0,Misc,THQ,0.0,,,0.18
5201,Tetrisphere,N64,1997.0,Puzzle,Nintendo,0.0,,,0.36
14453,To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen,DS,2008.0,Adventure,Marvelous Interactive,0.03,,,0.03
2861,The Lord of the Rings: The Two Towers,XB,2002.0,Action,Electronic Arts,0.0,79.0,17.0,0.71
164,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,0.11,96.0,42.0,5.48
2984,Bushido Blade 2,PS,1998.0,Fighting,SquareSoft,0.22,,,0.68
13669,Puyo Pop Fever,PSP,2004.0,Puzzle,Ignition Entertainment,0.04,68.0,9.0,0.04
13017,Hunted: The Demon's Forge,PC,2011.0,Action,Bethesda Softworks,0.0,61.0,21.0,0.05
7577,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014.0,Adventure,Activision,0.0,,,0.2
4676,Farming Simulator 17,PS4,2016.0,Simulation,Focus Home Interactive,0.0,69.0,17.0,0.41
3151,New Play Control! Pikmin,Wii,2008.0,Strategy,Nintendo,0.19,,,0.64
5984,Alvin and the Chipmunks: The Squeakquel,DS,2009.0,Misc,Majesco Entertainment,0.0,,,0.29
8162,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009.0,Strategy,Namco Bandai Games,0.18,,,0.18
9605,Twister Mania,X360,2011.0,Misc,505 Games,0.0,,,0.13
16602,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011.0,Strategy,System Soft,0.01,,,0.01
15806,Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007.0,Misc,D3Publisher,0.0,,,0.02
2087,Shadow The Hedgehog,GC,2005.0,Platform,Sega,0.0,51.0,22.0,0.99
6279,Dead Rising 2: Off the Record,X360,2011.0,Action,Capcom,0.0,72.0,48.0,0.27
237,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,0.22,,,4.53
6427,The House of the Dead 2,DC,1998.0,Shooter,Sega,0.26,,,0.26
16610,Mystereet,PS2,2006.0,Adventure,Yeti,0.01,,,0.01
2946,The LEGO Movie Videogame,3DS,2014.0,Action,Warner Bros. Interactive Entertainment,0.05,,,0.69
11812,Warriors Orochi 3,PSV,2013.0,Action,Tecmo Koei,0.07,,,0.07
11070,Last Rebellion,PS3,2010.0,Role-Playing,Nippon Ichi Software,0.01,44.0,30.0,0.09
8053,Ghostbusters: The Video Game,PSP,2009.0,Action,Atari,0.0,54.0,13.0,0.18
14920,Imagine: Sweet 16,DS,2010.0,Simulation,Ubisoft,0.0,,,0.03
7860,Injustice: Gods Among Us,WiiU,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.0,82.0,5.0,0.19
11627,Resident Evil Zero,XOne,2016.0,Action,Capcom,0.0,,,0.08
