carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
14022,merc, GL Class,2017,Automatic,25462,Diesel,145.0,56.5,2.1,24999
18005,skoda, Scala,2019,Automatic,1000,Petrol,145.0,45.6,1.5,17995
16795,bmw, 7 Series,2019,Semi-Auto,12038,Diesel,150.0,44.1,3.0,47980
14963,vw, Scirocco,2016,Manual,57362,Diesel,20.0,55.4,2.0,12998
14214,hyundi, I40,2019,Manual,10,Diesel,145.0,52.3,1.6,19995
13480,hyundi, IX35,2014,Manual,35452,Diesel,165.0,50.4,1.7,8498
19309,vw, Arteon,2017,Automatic,16283,Petrol,145.0,47.1,2.0,19990
14177,vw, Caravelle,2013,Automatic,46000,Diesel,325.0,35.3,2.0,22995
18229,vauxhall, Combo Life,2019,Manual,9061,Diesel,145.0,53.3,1.5,15990
15301,merc, CLA Class,2016,Manual,33231,Petrol,125.0,51.4,1.6,16000
13557,vw, Caravelle,2005,Automatic,140000,Diesel,325.0,31.0,2.5,13990
12243,vw, Jetta,2015,Manual,35242,Diesel,20.0,70.6,2.0,7999
14945,hyundi, Santa Fe,2016,Semi-Auto,14157,Diesel,235.0,42.2,2.2,18990
16408,toyota, Hilux,2018,Manual,12335,Diesel,260.0,40.4,2.4,22998
17093,hyundi, Santa Fe,2019,Semi-Auto,30,Diesel,145.0,40.9,2.2,32995
13915,toyota, GT86,2020,Manual,999,Petrol,145.0,33.2,2.0,29769
12016,bmw, 6 Series,2016,Semi-Auto,25596,Diesel,200.0,49.6,3.0,22910
19194,skoda, Rapid,2013,Semi-Auto,54400,Petrol,150.0,35.3,1.4,6000
12198,bmw, X7,2019,Semi-Auto,10,Diesel,145.0,31.4,3.0,76970
14411,hyundi, IX35,2013,Manual,80465,Diesel,145.0,53.3,1.7,6998
16107,merc, CLA Class,2016,Automatic,32150,Diesel,20.0,67.3,2.1,18980
16199,vauxhall, GTC,2017,Manual,13533,Petrol,145.0,47.1,1.4,11498
14164,bmw, Z4,2019,Semi-Auto,8626,Petrol,145.0,38.7,2.0,31450
17636,bmw, Z4,2009,Automatic,63179,Petrol,300.0,33.2,2.5,7999
12650,vauxhall, Agila,2013,Automatic,31090,Petrol,145.0,49.6,1.2,5990
17920,ford, Puma,2020,Manual,1250,Petrol,145.0,50.4,1.0,23155
19443,skoda, Rapid,2017,Manual,33228,Petrol,30.0,57.7,1.2,8990
15241,hyundi, I40,2017,Manual,15326,Diesel,145.0,65.7,1.7,10277
15233,hyundi, Santa Fe,2016,Automatic,55000,Diesel,235.0,42.8,2.2,17490
18752,merc, S Class,2019,Semi-Auto,1766,Diesel,145.0,48.7,3.0,63099
16271,toyota, Prius,2017,Automatic,39402,Hybrid,0.0,94.1,1.8,18700
13669,vw, Scirocco,2016,Manual,34995,Petrol,125.0,52.3,1.4,12200
14954,hyundi, Santa Fe,2015,Manual,54963,Diesel,200.0,46.3,2.2,13998
18551,toyota, Avensis,2016,Manual,17895,Diesel,20.0,67.3,1.6,9750
14073,vw, Scirocco,2015,Manual,41878,Diesel,20.0,55.4,2.0,14321
14758,bmw, M5,2016,Semi-Auto,26000,Petrol,565.0,28.5,4.4,30181
13172,ford, Galaxy,2018,Manual,37411,Diesel,145.0,56.5,2.0,17900
12162,vw, Arteon,2019,Semi-Auto,6627,Diesel,145.0,50.4,2.0,25890
17818,skoda, Scala,2020,Manual,2217,Petrol,145.0,49.6,1.0,16750
17124,ford, KA,2011,Manual,67532,Petrol,30.0,57.7,1.2,2890
13594,toyota, Avensis,2018,Manual,31174,Diesel,145.0,61.4,2.0,14495
15866,merc, CLS Class,2019,Semi-Auto,12000,Diesel,145.0,47.9,2.9,42000
16362,merc, GLB Class,2020,Semi-Auto,3001,Diesel,145.0,44.8,2.0,36880
18879,skoda, Kamiq,2019,Automatic,124,Petrol,145.0,44.1,1.5,19450
12727,merc, GL Class,2018,Automatic,8291,Diesel,145.0,56.5,2.1,27699
18363,vauxhall, GTC,2016,Automatic,44310,Petrol,200.0,42.8,1.4,9240
17402,merc, S Class,2019,Automatic,3671,Petrol,145.0,31.7,4.0,104590
14232,ford, KA,2017,Manual,19599,Petrol,150.0,57.7,1.2,8000
15452,audi, Q8,2019,Semi-Auto,9432,Diesel,145.0,33.6,3.0,53981
13020,merc, CLS Class,2016,Automatic,48000,Diesel,125.0,57.7,2.1,16990
13369,ford, Galaxy,2016,Semi-Auto,17136,Diesel,145.0,52.3,2.0,19290
16248,skoda, Kamiq,2019,Manual,4500,Diesel,145.0,56.5,1.6,15795
12687,toyota, Prius,2013,Automatic,80000,Hybrid,0.0,70.6,1.8,8988
14943,bmw, 8 Series,2019,Automatic,4075,Petrol,145.0,26.7,3.0,69898
17926,skoda, Scala,2020,Semi-Auto,1000,Diesel,145.0,54.3,1.6,17995
12307,ford, Galaxy,2017,Semi-Auto,36708,Diesel,145.0,52.3,2.0,19000
18390,bmw, M2,2019,Semi-Auto,4929,Petrol,150.0,29.1,3.0,44500
14452,toyota, Hilux,2017,Automatic,17235,Diesel,260.0,36.2,2.4,21998
15949,skoda, Scala,2019,Manual,849,Petrol,145.0,49.6,1.0,15995
19519,bmw, 6 Series,2019,Automatic,9205,Diesel,145.0,44.1,2.0,32750
15455,audi, A8,2019,Automatic,5000,Diesel,145.0,50.4,3.0,41990
17841,merc, V Class,2019,Manual,20578,Diesel,145.0,46.3,2.1,17699
16660,merc, GL Class,2015,Semi-Auto,45000,Diesel,325.0,36.2,3.0,28881
15846,vw, Beetle,2016,Manual,50139,Petrol,150.0,48.7,1.4,13790
12062,vw, Scirocco,2017,Semi-Auto,37975,Diesel,125.0,58.9,2.0,15690
18174,merc, GLS Class,2019,Semi-Auto,9977,Diesel,145.0,37.2,3.0,47980
13586,merc, V Class,2018,Semi-Auto,2748,Diesel,145.0,44.8,2.2,36399
16508,vw, Tiguan Allspace,2019,Automatic,10009,Diesel,145.0,44.1,2.0,27750
18958,ford, Edge,2018,Semi-Auto,9600,Diesel,145.0,47.9,2.0,25990
15147,audi, A7,2015,Semi-Auto,42687,Diesel,150.0,54.3,3.0,17888
18959,merc, S Class,2017,Automatic,26000,Diesel,150.0,50.4,3.0,28999
18517,hyundi, IX20,2017,Manual,21354,Petrol,145.0,50.4,1.4,9490
17553,vw, Scirocco,2013,Manual,66000,Diesel,30.0,62.8,2.0,9495
19316,bmw, X7,2019,Semi-Auto,5283,Diesel,145.0,33.6,3.0,69995
17308,bmw, X4,2019,Semi-Auto,6449,Diesel,145.0,37.2,3.0,41999
14163,hyundi, I800,2018,Manual,31007,Diesel,145.0,31.7,2.5,15949
13656,audi, RS6,2017,Semi-Auto,39300,Petrol,145.0,29.4,4.0,54490
18964,merc, V Class,2019,Automatic,4170,Diesel,145.0,44.1,2.1,40890
17317,bmw, M2,2019,Semi-Auto,1287,Petrol,145.0,29.1,3.0,45980
14597,ford, Grand C-MAX,2016,Manual,8000,Diesel,30.0,64.2,1.5,10857
17353,vw, Arteon,2017,Semi-Auto,6502,Petrol,145.0,47.1,2.0,22290
15768,bmw, M4,2017,Semi-Auto,27806,Petrol,145.0,34.0,3.0,36820
16760,vw, Amarok,2020,Automatic,2451,Diesel,260.0,33.6,3.0,39999
13979,merc, CLS Class,2016,Semi-Auto,31689,Diesel,160.0,51.4,3.0,21995
14012,audi, RS6,2018,Automatic,3840,Petrol,150.0,29.4,4.0,70000
15158,merc, CLS Class,2019,Automatic,2817,Diesel,145.0,47.9,2.9,45636
19216,bmw, Z4,2019,Semi-Auto,434,Petrol,145.0,38.7,2.0,33500
16293,merc, GL Class,2017,Automatic,24000,Diesel,200.0,47.9,2.1,27990
12180,skoda, Kamiq,2020,Automatic,228,Petrol,145.0,44.1,1.5,18990
19052,merc, S Class,2016,Semi-Auto,46000,Diesel,160.0,50.4,3.0,28980
14973,hyundi, Santa Fe,2019,Semi-Auto,30,Diesel,145.0,40.9,2.2,32995
12236,hyundi, Getz,2003,Automatic,51000,Petrol,260.0,37.2,1.6,1990
16750,bmw, X6,2018,Automatic,9135,Diesel,145.0,47.1,3.0,36480
15194,toyota, Avensis,2017,Manual,24459,Petrol,145.0,47.1,1.8,12498
14314,bmw, 8 Series,2020,Semi-Auto,6374,Diesel,145.0,26.7,3.0,61485
14155,bmw, i3,2017,Automatic,17338,Hybrid,135.0,470.8,0.0,19495
14211,vw, Scirocco,2016,Manual,18092,Petrol,150.0,47.1,2.0,16499
12908,ford, Galaxy,2018,Automatic,9041,Diesel,145.0,53.3,2.0,22000
17347,audi, A8,2016,Semi-Auto,25691,Diesel,200.0,47.9,3.0,26000
16454,toyota, Prius,2013,Automatic,35726,Hybrid,0.0,134.5,1.8,13495
12607,toyota, Prius,2018,Automatic,31786,Hybrid,135.0,235.0,1.8,22890
12430,ford, Grand Tourneo Connect,2019,Manual,3500,Diesel,145.0,61.4,1.5,19999
15827,merc, GL Class,2015,Automatic,14295,Diesel,125.0,55.4,2.1,19499
17868,skoda, Kamiq,2019,Semi-Auto,50,Petrol,145.0,43.5,1.5,21750
17743,bmw, 6 Series,2008,Semi-Auto,67000,Diesel,265.0,40.9,3.0,9495
16683,vw, Scirocco,2017,Manual,10131,Petrol,145.0,47.1,2.0,15299
15664,merc, V Class,2019,Semi-Auto,6295,Diesel,145.0,36.7,2.0,44490
19432,ford, Puma,2019,Manual,3844,Petrol,145.0,50.4,1.0,21250
13577,vw, Shuttle,2020,Manual,1000,Diesel,150.0,37.7,2.0,25199
13989,vw, Amarok,2016,Automatic,46000,Diesel,265.0,35.3,2.0,15991
12567,bmw, i8,2018,Automatic,11278,Hybrid,135.0,134.5,1.5,57870
12127,vauxhall, Combo Life,2019,Manual,4912,Diesel,145.0,53.3,1.5,17994
12043,ford, Edge,2019,Automatic,10,Diesel,145.0,37.2,2.0,33000
16235,merc, CLS Class,2016,Semi-Auto,33063,Diesel,165.0,51.4,3.0,21691
14050,ford, Edge,2018,Automatic,13712,Diesel,145.0,47.9,2.0,23740
16360,bmw, 7 Series,2014,Semi-Auto,24528,Petrol,300.0,32.8,4.4,21498
16818,hyundi, IX35,2015,Manual,64925,Diesel,165.0,51.4,2.0,8298
17573,merc, CLS Class,2019,Semi-Auto,6056,Diesel,145.0,47.9,2.9,44599
17417,bmw, X4,2015,Automatic,51532,Diesel,145.0,54.3,2.0,19500
14334,vw, Jetta,2015,Manual,26403,Diesel,20.0,67.3,2.0,9990
16627,merc, CLA Class,2019,Automatic,6571,Diesel,145.0,55.4,2.0,32890
14186,ford, Tourneo Connect,2016,Manual,72777,Diesel,30.0,64.2,1.5,9000
19196,vw, Tiguan Allspace,2018,Semi-Auto,29979,Diesel,145.0,55.4,2.0,21750
15316,bmw, X6,2020,Semi-Auto,3000,Diesel,145.0,34.9,3.0,59989
12385,merc, S Class,2018,Automatic,2499,Petrol,145.0,34.0,4.0,79989
17154,toyota, Prius,2013,Automatic,131000,Hybrid,0.0,68.9,1.8,9980
19233,ford, Galaxy,2019,Semi-Auto,9513,Diesel,145.0,46.3,2.0,27700
15754,merc, S Class,2018,Automatic,2136,Petrol,145.0,40.9,3.0,58332
15568,merc, CLS Class,2014,Automatic,32757,Diesel,145.0,54.3,2.1,14000
14754,vw, Jetta,2015,Manual,84700,Diesel,20.0,67.3,2.0,8495
18505,toyota, Prius,2019,Automatic,1995,Hybrid,135.0,61.4,1.8,22490
15725,hyundi, I40,2016,Manual,18340,Diesel,125.0,60.1,1.7,12995
13379,skoda, Yeti,2016,Semi-Auto,43737,Petrol,125.0,51.4,1.2,9360
18665,bmw, M4,2019,Semi-Auto,8124,Petrol,145.0,34.0,3.0,44898
13796,vauxhall, Agila,2014,Automatic,18488,Petrol,145.0,49.6,1.2,7250
12019,vauxhall, Combo Life,2020,Semi-Auto,1950,Petrol,145.0,40.4,1.2,24995
14226,vw, Scirocco,2017,Semi-Auto,18739,Diesel,145.0,53.3,2.0,16500
13218,bmw, X4,2016,Automatic,27580,Diesel,205.0,47.9,3.0,26000
12324,merc, X-CLASS,2018,Automatic,7820,Diesel,260.0,31.4,3.0,38995
16262,ford, Tourneo Connect,2016,Manual,31307,Diesel,30.0,64.2,1.5,12360
16036,ford, Puma,2020,Manual,150,Petrol,150.0,50.4,1.0,30000
13838,vw, Scirocco,2016,Automatic,23420,Diesel,30.0,62.8,2.0,15300
19449,skoda, Rapid,2015,Manual,31670,Petrol,30.0,57.7,1.2,7995
16318,toyota, Camry,2019,Automatic,4600,Hybrid,135.0,52.3,2.5,29990
18493,vw, Scirocco,2015,Manual,42579,Diesel,20.0,55.4,2.0,12000
14743,ford, Edge,2017,Manual,11841,Diesel,145.0,48.7,2.0,18991
12525,toyota, Verso,2016,Automatic,22703,Petrol,165.0,43.5,1.8,14995
12688,vauxhall, GTC,2016,Manual,26342,Petrol,160.0,47.1,1.4,7190
16513,bmw, X4,2019,Semi-Auto,15411,Diesel,150.0,40.9,3.0,34500
18149,skoda, Kamiq,2020,Semi-Auto,2000,Diesel,145.0,52.3,1.6,21495
19223,audi, SQ5,2015,Automatic,79000,Diesel,235.0,42.8,3.0,19950
13339,toyota, Prius,2019,Automatic,6201,Hybrid,135.0,64.2,1.8,24995
16774,toyota, PROACE VERSO,2019,Automatic,240,Diesel,145.0,38.7,2.0,27998
16908,ford, Grand C-MAX,2011,Automatic,90000,Diesel,200.0,48.7,2.0,5995
19109,skoda, Kamiq,2019,Semi-Auto,1250,Petrol,145.0,44.1,1.5,19495
15572,vw, Tiguan Allspace,2020,Semi-Auto,2500,Petrol,145.0,30.7,2.0,35490
18350,vw, Arteon,2019,Semi-Auto,8000,Diesel,145.0,44.1,2.0,33950
18994,vauxhall, GTC,2016,Manual,29982,Petrol,160.0,47.1,1.4,8099
17005,vw, CC,2014,Manual,76705,Diesel,30.0,60.1,2.0,9295
18598,merc, CLA Class,2017,Automatic,39950,Diesel,20.0,67.3,2.1,18944
13658,vw, CC,2016,Automatic,32925,Diesel,125.0,58.9,2.0,12500
14103,toyota, Hilux,2020,Automatic,5000,Diesel,260.0,2.8,2.4,30500
16121,skoda, Scala,2020,Semi-Auto,1000,Petrol,145.0,45.6,1.5,19999
17624,merc, CLA Class,2015,Automatic,32895,Diesel,20.0,67.3,2.1,16250
15482,toyota, Verso,2017,Manual,29973,Petrol,200.0,41.5,1.6,12750
16010,ford, KA,2013,Manual,40289,Petrol,30.0,57.7,1.2,4995
14204,merc, X-CLASS,2018,Automatic,3900,Diesel,260.0,35.8,2.3,23000
13084,merc, X-CLASS,2019,Automatic,500,Diesel,260.0,35.8,2.3,22495
17923,merc, GLS Class,2017,Automatic,19761,Diesel,300.0,37.2,3.0,39900
17802,vw, Caravelle,2020,Semi-Auto,5000,Diesel,145.0,34.0,2.0,50995
14457,vauxhall, Antara,2015,Manual,52889,Diesel,240.0,44.1,2.2,6500
12861,audi, RS5,2019,Automatic,5000,Petrol,145.0,30.1,2.9,54000
12419,merc, SLK,2015,Automatic,31576,Diesel,30.0,70.6,2.1,14800
12318,vauxhall, Agila,2011,Manual,25669,Petrol,30.0,55.4,1.2,4655
19053,ford, Galaxy,2018,Manual,9609,Diesel,145.0,55.4,2.0,21600
19487,toyota, Verso,2016,Manual,9000,Petrol,200.0,41.5,1.6,11495
13362,vw, Scirocco,2017,Automatic,16614,Petrol,145.0,44.1,2.0,14999
15640,vauxhall, Zafira Tourer,2017,Manual,27629,Petrol,200.0,42.2,1.4,10200
12954,hyundi, IX35,2015,Manual,33177,Diesel,160.0,51.4,2.0,10199
15372,vw, Amarok,2014,Automatic,40330,Diesel,260.0,35.3,2.0,15497
16918,vauxhall, Combo Life,2018,Manual,14066,Diesel,145.0,53.3,1.5,13300
18193,audi, A7,2018,Automatic,3537,Diesel,145.0,38.2,3.0,39991
14674,merc, X-CLASS,2019,Automatic,12500,Diesel,260.0,31.4,3.0,33750
16776,hyundi, I800,2018,Manual,38093,Diesel,145.0,37.7,2.5,14794
14316,vauxhall, Combo Life,2019,Manual,4144,Petrol,145.0,42.2,1.2,15298
13952,vauxhall, Antara,2013,Manual,55470,Diesel,200.0,46.3,2.2,5995
18927,bmw, M4,2019,Automatic,5000,Petrol,145.0,34.0,3.0,44988
17469,hyundi, I800,2018,Automatic,33999,Diesel,145.0,33.6,2.5,15995
12537,ford, Galaxy,2018,Manual,31961,Diesel,145.0,56.5,2.0,18000
19039,merc, GL Class,2015,Automatic,53789,Diesel,125.0,56.5,2.1,16499
15762,hyundi, Santa Fe,2019,Semi-Auto,3580,Diesel,145.0,39.8,2.2,33970
18442,bmw, 8 Series,2019,Semi-Auto,7903,Diesel,145.0,38.2,3.0,67898
16407,skoda, Kamiq,2020,Manual,1000,Petrol,145.0,47.9,1.0,17495
18832,toyota, Hilux,2017,Manual,58630,Diesel,260.0,40.4,2.4,18995
13710,skoda, Kamiq,2019,Semi-Auto,452,Diesel,145.0,52.3,1.6,20991
14832,vw, Scirocco,2014,Manual,48501,Petrol,160.0,44.1,1.4,8690
16376,bmw, 6 Series,2020,Semi-Auto,123,Diesel,145.0,42.2,2.0,44991
13508,toyota, Hilux,2019,Automatic,5869,Diesel,260.0,36.2,2.4,33750
18469,audi, A7,2015,Semi-Auto,41656,Diesel,145.0,54.3,3.0,19998
18062,vw, Scirocco,2017,Semi-Auto,9268,Petrol,150.0,34.9,2.0,20891
18095,ford, Grand Tourneo Connect,2017,Manual,17442,Diesel,30.0,64.2,1.5,12298
13108,bmw, M4,2019,Semi-Auto,5486,Petrol,145.0,34.0,3.0,42485
14246,bmw, 7 Series,2017,Semi-Auto,28338,Diesel,145.0,56.5,3.0,35464
15889,ford, Galaxy,2018,Manual,50638,Diesel,150.0,56.5,2.0,14285
16960,bmw, X4,2019,Semi-Auto,10395,Diesel,150.0,42.8,2.0,35480
15808,bmw, 6 Series,2014,Automatic,64674,Diesel,160.0,49.6,3.0,17000
14551,hyundi, I800,2019,Manual,3844,Diesel,145.0,31.7,2.5,17750
14609,skoda, Yeti,2014,Manual,40224,Diesel,145.0,55.4,2.0,8990
16032,merc, GL Class,2017,Automatic,19000,Diesel,145.0,56.5,2.1,18990
14744,ford, Grand C-MAX,2016,Manual,31671,Diesel,30.0,64.2,1.5,9220
18574,ford, KA,2013,Manual,35000,Petrol,30.0,57.7,1.2,4990
18671,skoda, Yeti,2016,Automatic,10947,Petrol,125.0,51.4,1.2,12399
13455,ford, Galaxy,2019,Semi-Auto,4960,Diesel,145.0,53.3,2.0,22990
15305,merc, SLK,2016,Semi-Auto,30816,Diesel,30.0,70.6,2.0,16480
16340,vauxhall, Combo Life,2019,Manual,3294,Diesel,145.0,53.3,1.5,16270
12608,merc, V Class,2019,Automatic,4362,Diesel,145.0,45.6,2.2,44410
16253,hyundi, Santa Fe,2019,Semi-Auto,3122,Diesel,145.0,39.8,2.2,33998
17978,hyundi, IX20,2015,Automatic,17950,Petrol,205.0,43.6,1.6,7480
18650,vw, Arteon,2019,Automatic,50,Petrol,145.0,47.1,2.0,30000
16684,bmw, X4,2014,Automatic,67975,Diesel,200.0,47.9,3.0,17450
13000,vw, Amarok,2016,Automatic,29500,Diesel,265.0,35.3,2.0,22794
18531,vw, Caravelle,2019,Automatic,2692,Diesel,145.0,33.6,2.0,49999
16078,ford, Edge,2017,Automatic,26405,Diesel,145.0,48.7,2.0,22295
15003,ford, Grand C-MAX,2016,Manual,45690,Diesel,30.0,64.2,1.5,9709
12708,bmw, 7 Series,2016,Automatic,33000,Diesel,145.0,54.3,3.0,29990
13242,bmw, X6,2016,Semi-Auto,24864,Diesel,205.0,47.1,3.0,29480
12955,vw, Scirocco,2017,Manual,30186,Petrol,150.0,52.3,1.4,14500
18681,hyundi, Santa Fe,2015,Manual,25770,Diesel,200.0,46.3,2.2,14498
16598,skoda, Scala,2019,Automatic,3500,Petrol,145.0,45.6,1.5,17995
12068,ford, Edge,2019,Semi-Auto,7999,Diesel,145.0,37.2,2.0,29999
17909,ford, Galaxy,2018,Manual,4753,Diesel,145.0,56.5,2.0,23499
