EmployeeNumber,Age,BusinessTravel,MonthlyIncome,Department,DistanceFromHome,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,MaritalStatus,NumCompaniesWorked,Attrition
333,32,Non-Travel,4465,Sales,26,Marketing,1,3.0,Male,Sales Executive,Married,0,0
1434,27,Travel_Rarely,2099,Research & Development,11,Life Sciences,1,2.0,Male,Laboratory Technician,Married,0,0
1467,34,Travel_Rarely,2742,Human Resources,9,Technical Degree,1,1.0,Female,Human Resources,Married,1,1
224,27,Non-Travel,2566,Research & Development,3,Medical,1,3.0,Male,Research Scientist,Divorced,1,0
1425,36,Travel_Rarely,9278,Sales,3,Marketing,1,1.0,Female,Sales Executive,Single,3,0
2007,22,Travel_Rarely,3375,Research & Development,1,Life Sciences,1,4.0,Male,Research Scientist,Single,0,0
1392,41,Travel_Frequently,5467,Research & Development,22,Life Sciences,1,4.0,Female,Research Scientist,Divorced,3,0
1137,35,Travel_Frequently,4968,Sales,11,Marketing,1,4.0,Male,Sales Executive,Divorced,1,0
1136,28,Travel_Rarely,3201,Research & Development,2,Life Sciences,1,1.0,Male,Research Scientist,Married,0,0
446,33,Travel_Frequently,4682,Sales,10,Marketing,1,2.0,Male,Sales Executive,Single,3,0
1997,38,Travel_Frequently,5321,Research & Development,6,Life Sciences,1,,Male,Manufacturing Director,Married,2,0
1650,29,Travel_Rarely,5869,Sales,10,Medical,1,3.0,Male,Sales Executive,Single,9,0
996,45,Travel_Rarely,2270,Research & Development,1,Medical,1,4.0,Female,Laboratory Technician,Divorced,3,0
1818,26,Travel_Rarely,2148,Human Resources,20,Medical,1,4.0,Female,Human Resources,Married,0,1
450,54,Travel_Frequently,4869,Research & Development,20,Life Sciences,1,4.0,Female,Research Scientist,Single,3,0
982,30,Travel_Rarely,7264,Sales,8,Other,1,,Male,Sales Executive,Divorced,5,0
698,54,Travel_Rarely,10725,Human Resources,19,Medical,1,3.0,Male,Human Resources,Married,2,0
664,48,Travel_Rarely,15402,Research & Development,1,Life Sciences,1,4.0,Female,Manager,Married,7,0
49,35,Travel_Rarely,2014,Sales,2,Marketing,1,,Female,Sales Representative,Married,1,0
872,22,Travel_Rarely,4775,Research & Development,1,Life Sciences,1,4.0,Male,Manufacturing Director,Married,6,0
245,38,Travel_Rarely,2288,Research & Development,9,Life Sciences,1,3.0,Female,Laboratory Technician,Single,1,0
551,42,Travel_Frequently,4523,Research & Development,28,Technical Degree,1,4.0,Female,Healthcare Representative,Married,0,0
1375,40,Travel_Rarely,6377,Research & Development,2,Medical,1,2.0,Female,Healthcare Representative,Divorced,5,0
184,30,Travel_Rarely,6347,Human Resources,9,Human Resources,1,3.0,Male,Human Resources,Married,0,0
85,36,Travel_Frequently,6499,Research & Development,11,Life Sciences,1,2.0,Male,Manufacturing Director,Single,1,0
836,42,Travel_Rarely,4434,Research & Development,29,Life Sciences,1,2.0,Male,Manufacturing Director,Married,1,0
51,36,Travel_Rarely,3419,Research & Development,5,Life Sciences,1,2.0,Female,Research Scientist,Married,9,0
901,53,Travel_Rarely,14275,Research & Development,23,Life Sciences,1,4.0,Female,Research Director,Single,6,0
1166,40,Travel_Frequently,13499,Research & Development,9,Medical,1,2.0,Female,Research Director,Single,9,0
404,42,Travel_Frequently,13525,Sales,26,Marketing,1,3.0,Female,Sales Executive,Married,5,0
807,40,Travel_Frequently,4244,Research & Development,2,Medical,1,3.0,Female,Healthcare Representative,Married,1,0
91,59,Travel_Frequently,5473,Sales,1,Life Sciences,1,1.0,Female,Sales Executive,Single,7,0
41,30,Travel_Rarely,2206,Research & Development,9,Medical,1,4.0,Male,Laboratory Technician,Single,1,0
1592,23,Travel_Rarely,2073,Research & Development,10,Technical Degree,1,4.0,Male,Research Scientist,Married,2,0
2046,45,Travel_Rarely,4850,Sales,20,Life Sciences,1,4.0,Female,Sales Executive,Single,8,0
1184,34,Travel_Frequently,5343,Research & Development,1,Medical,1,4.0,Male,Healthcare Representative,Single,0,0
1179,30,Travel_Rarely,6578,Sales,10,Marketing,1,3.0,Male,Sales Executive,Married,1,0
805,35,Travel_Rarely,2572,Sales,8,Life Sciences,1,1.0,Female,Sales Representative,Married,1,0
1916,31,Travel_Rarely,3978,Research & Development,4,Medical,1,1.0,Female,Laboratory Technician,Divorced,8,0
1132,39,Non-Travel,6782,Research & Development,9,Life Sciences,1,3.0,Male,Laboratory Technician,Single,9,0
23,53,Travel_Rarely,15427,Sales,2,Life Sciences,1,1.0,Female,Manager,Married,2,0
1646,24,Travel_Frequently,3760,Research & Development,2,Technical Degree,1,1.0,Female,Research Scientist,Single,1,0
505,55,Travel_Rarely,16659,Research & Development,2,Life Sciences,1,3.0,Female,Manager,Single,2,0
2019,52,Non-Travel,3482,Sales,29,Life Sciences,1,,Male,Sales Representative,Divorced,2,0
1053,26,Travel_Frequently,2042,Research & Development,2,Life Sciences,1,1.0,Male,Research Scientist,Married,6,1
847,34,Travel_Rarely,3737,Human Resources,3,Human Resources,1,,Male,Human Resources,Married,0,0
1012,18,Non-Travel,1051,Research & Development,5,Life Sciences,1,2.0,Male,Research Scientist,Single,1,0
1732,46,Travel_Rarely,10368,Sales,2,Life Sciences,1,3.0,Male,Sales Executive,Divorced,4,0
1809,37,Travel_Rarely,4213,Research & Development,10,Medical,1,,Male,Manufacturing Director,Single,1,1
754,43,Travel_Frequently,6804,Sales,15,Life Sciences,1,4.0,Male,Sales Executive,Married,3,0
1294,36,Travel_Rarely,5410,Research & Development,2,Life Sciences,1,3.0,Female,Manufacturing Director,Single,9,0
1039,44,Travel_Rarely,13320,Sales,28,Medical,1,4.0,Female,Sales Executive,Married,3,0
1035,41,Non-Travel,19973,Research & Development,7,Life Sciences,1,2.0,Female,Research Director,Divorced,1,0
1477,33,Travel_Frequently,4373,Sales,7,Medical,1,4.0,Male,Sales Executive,Married,0,0
1556,36,Travel_Rarely,2644,Sales,2,Life Sciences,1,3.0,Male,Sales Representative,Single,3,0
1633,39,Travel_Frequently,5042,Research & Development,4,Medical,1,1.0,Female,Manufacturing Director,Single,0,0
352,40,Travel_Rarely,19436,Research & Development,2,Medical,1,1.0,Male,Research Director,Divorced,0,0
1734,32,Travel_Rarely,6735,Sales,1,Life Sciences,1,1.0,Male,Sales Executive,Single,6,1
897,53,Travel_Rarely,11836,Sales,8,Marketing,1,1.0,Male,Sales Executive,Married,5,0
922,20,Travel_Rarely,2044,Sales,2,Medical,1,3.0,Female,Sales Representative,Single,1,1
605,42,Travel_Rarely,7406,Research & Development,24,Medical,1,4.0,Male,Manufacturing Director,Married,1,0
1520,54,Travel_Frequently,16032,Research & Development,11,Medical,1,,Female,Manager,Divorced,3,0
1865,29,Travel_Rarely,2804,Human Resources,6,Medical,1,4.0,Male,Human Resources,Married,1,0
741,28,Travel_Rarely,2216,Research & Development,1,Life Sciences,1,1.0,Female,Research Scientist,Single,7,1
1363,48,Travel_Rarely,7898,Research & Development,4,Life Sciences,1,4.0,Male,Manufacturing Director,Single,1,0
346,29,Travel_Rarely,2340,Research & Development,15,Life Sciences,1,3.0,Male,Research Scientist,Single,1,0
581,31,Travel_Rarely,10648,Research & Development,9,Life Sciences,1,3.0,Male,Manufacturing Director,Divorced,1,0
1909,41,Travel_Rarely,4393,Sales,8,Marketing,1,3.0,Female,Sales Executive,Married,5,0
729,40,Travel_Frequently,10475,Sales,5,Life Sciences,1,4.0,Male,Sales Executive,Married,5,0
1587,35,Travel_Rarely,6142,Research & Development,10,Medical,1,1.0,Female,Healthcare Representative,Single,3,0
88,35,Travel_Frequently,2194,Research & Development,1,Medical,1,2.0,Male,Research Scientist,Married,4,0
1709,29,Travel_Rarely,2974,Research & Development,9,Medical,1,4.0,Female,Laboratory Technician,Married,9,0
1237,36,Travel_Rarely,10252,Research & Development,1,Technical Degree,1,3.0,Female,Manufacturing Director,Divorced,2,0
1485,34,Travel_Frequently,17007,Research & Development,15,Medical,1,2.0,Male,Research Director,Divorced,7,0
241,56,Travel_Rarely,4257,Research & Development,8,Life Sciences,1,3.0,Female,Research Scientist,Divorced,4,0
1912,31,Travel_Rarely,6583,Sales,10,Medical,1,3.0,Female,Sales Executive,Divorced,2,0
1671,32,Travel_Rarely,5470,Research & Development,2,Medical,1,4.0,Male,Research Scientist,Divorced,0,0
1885,37,Travel_Rarely,4284,Research & Development,7,Medical,1,,Male,Research Scientist,Married,5,0
554,24,Travel_Rarely,3202,Sales,1,Technical Degree,1,1.0,Female,Sales Representative,Single,1,1
511,22,Travel_Rarely,2244,Research & Development,11,Medical,1,1.0,Female,Research Scientist,Married,1,0
431,49,Travel_Rarely,13964,Research & Development,1,Technical Degree,1,3.0,Female,Healthcare Representative,Single,7,0
1,41,Travel_Rarely,5993,Sales,1,Life Sciences,1,2.0,Female,Sales Executive,Single,8,1
2021,21,Travel_Rarely,2380,Sales,5,Medical,1,,Male,Sales Representative,Single,1,0
1850,27,Travel_Frequently,2379,Research & Development,5,Life Sciences,1,4.0,Female,Laboratory Technician,Single,0,0
1955,32,Non-Travel,6667,Research & Development,15,Medical,1,3.0,Female,Healthcare Representative,Divorced,5,0
2008,35,Travel_Rarely,5098,Research & Development,9,Medical,1,2.0,Male,Research Scientist,Single,1,0
1667,35,Travel_Frequently,4581,Sales,12,Other,1,4.0,Male,Sales Executive,Single,3,1
1658,34,Travel_Rarely,5433,Research & Development,3,Life Sciences,1,4.0,Female,Research Scientist,Divorced,1,0
1630,35,Non-Travel,4148,Research & Development,8,Life Sciences,1,,Female,Healthcare Representative,Married,1,0
309,59,Travel_Rarely,2177,Research & Development,3,Life Sciences,1,3.0,Male,Research Scientist,Married,3,0
126,54,Travel_Rarely,13549,Research & Development,2,Technical Degree,1,1.0,Female,Research Director,Married,9,0
1908,36,Travel_Rarely,5507,Sales,17,Marketing,1,3.0,Male,Sales Executive,Married,2,0
1606,50,Travel_Frequently,11245,Research & Development,20,Medical,1,2.0,Male,Healthcare Representative,Married,2,0
1466,48,Travel_Rarely,5486,Sales,7,Marketing,1,3.0,Male,Sales Executive,Divorced,4,0
329,52,Non-Travel,19068,Sales,2,Life Sciences,1,1.0,Male,Manager,Single,1,0
1045,45,Travel_Rarely,17650,Sales,11,Life Sciences,1,4.0,Female,Manager,Married,3,0
661,43,Travel_Rarely,16627,Research & Development,6,Other,1,2.0,Male,Research Director,Divorced,4,0
1190,32,Non-Travel,2827,Sales,2,Life Sciences,1,3.0,Female,Sales Representative,Divorced,1,0
1275,26,Travel_Rarely,2875,Research & Development,4,Life Sciences,1,3.0,Male,Research Scientist,Single,1,0
732,60,Travel_Rarely,5405,Sales,16,Marketing,1,1.0,Male,Sales Executive,Single,8,0
857,36,Travel_Rarely,6201,Sales,1,Life Sciences,1,2.0,Male,Sales Executive,Married,1,0
950,38,Travel_Rarely,13582,Research & Development,1,Technical Degree,1,4.0,Female,Research Director,Married,1,0
207,32,Travel_Frequently,8998,Sales,8,Marketing,1,2.0,Female,Sales Executive,Single,1,0
1854,42,Non-Travel,2936,Research & Development,10,Technical Degree,1,3.0,Male,Research Scientist,Married,3,0
494,21,Travel_Rarely,2716,Sales,12,Life Sciences,1,3.0,Female,Sales Representative,Single,1,1
1805,38,Non-Travel,2592,Human Resources,2,Human Resources,1,1.0,Male,Human Resources,Divorced,5,0
744,44,Non-Travel,3708,Research & Development,24,Medical,1,1.0,Male,Laboratory Technician,Single,2,0
1265,34,Travel_Rarely,2585,Research & Development,20,Technical Degree,1,3.0,Female,Research Scientist,Married,0,0
964,40,Travel_Frequently,3617,Research & Development,9,Medical,1,4.0,Male,Research Scientist,Divorced,8,0
1369,35,Travel_Rarely,5363,Research & Development,1,Medical,1,4.0,Female,Laboratory Technician,Married,0,0
1547,42,Travel_Frequently,10124,Research & Development,2,Life Sciences,1,4.0,Male,Healthcare Representative,Married,2,0
296,51,Travel_Rarely,12490,Research & Development,8,Life Sciences,1,2.0,Male,Research Director,Married,5,0
1966,32,Travel_Rarely,9679,Research & Development,5,Life Sciences,1,4.0,Male,Manufacturing Director,Single,8,0
1949,36,Non-Travel,2810,Research & Development,9,Life Sciences,1,1.0,Male,Laboratory Technician,Married,1,0
622,26,Travel_Rarely,2340,Research & Development,24,Technical Degree,1,3.0,Male,Laboratory Technician,Single,1,1
544,45,Travel_Rarely,2654,Research & Development,10,Life Sciences,1,1.0,Male,Research Scientist,Married,3,0
514,30,Travel_Frequently,2285,Research & Development,4,Technical Degree,1,3.0,Male,Research Scientist,Single,9,1
1716,47,Travel_Frequently,12936,Sales,9,Life Sciences,1,3.0,Male,Sales Executive,Married,7,1
304,36,Travel_Rarely,5914,Research & Development,5,Life Sciences,1,4.0,Male,Laboratory Technician,Single,8,0
1506,28,Travel_Rarely,1563,Research & Development,1,Life Sciences,1,1.0,Male,Research Scientist,Divorced,1,0
1890,36,Travel_Frequently,3886,Human Resources,2,Human Resources,1,2.0,Male,Human Resources,Single,1,0
1979,31,Non-Travel,11031,Research & Development,10,Medical,1,3.0,Female,Research Director,Married,4,0
562,30,Non-Travel,2097,Research & Development,3,Life Sciences,1,3.0,Male,Laboratory Technician,Married,4,0
1772,41,Travel_Rarely,2289,Research & Development,9,Life Sciences,1,3.0,Male,Laboratory Technician,Divorced,1,0
802,37,Travel_Rarely,2782,Research & Development,10,Life Sciences,1,4.0,Female,Research Scientist,Divorced,0,0
33,32,Travel_Frequently,3919,Research & Development,16,Life Sciences,1,2.0,Female,Research Scientist,Single,1,1
1043,39,Travel_Frequently,10880,Research & Development,22,Medical,1,4.0,Female,Manufacturing Director,Single,1,0
364,28,Travel_Rarely,3485,Research & Development,2,Life Sciences,1,1.0,Male,Laboratory Technician,Single,2,1
144,22,Travel_Rarely,2871,Research & Development,15,Medical,1,2.0,Female,Laboratory Technician,Single,1,0
140,59,Non-Travel,18844,Human Resources,2,Human Resources,1,3.0,Female,Manager,Married,9,0
1100,35,Travel_Rarely,9582,Sales,4,Technical Degree,1,4.0,Male,Sales Executive,Single,0,1
1856,47,Travel_Rarely,2105,Research & Development,9,Life Sciences,1,2.0,Female,Laboratory Technician,Single,4,0
1503,47,Travel_Rarely,4591,Sales,14,Medical,1,3.0,Female,Sales Executive,Married,3,0
1408,42,Travel_Rarely,16799,Human Resources,10,Human Resources,1,3.0,Female,Manager,Married,0,0
1596,35,Travel_Rarely,3407,Research & Development,28,Life Sciences,1,2.0,Male,Laboratory Technician,Married,1,0
94,29,Travel_Rarely,2703,Research & Development,2,Life Sciences,1,3.0,Male,Research Scientist,Married,0,0
954,40,Travel_Rarely,9705,Sales,10,Marketing,1,1.0,Male,Sales Executive,Divorced,2,0
436,32,Travel_Rarely,5228,Sales,8,Technical Degree,1,3.0,Female,Sales Executive,Married,1,0
1338,56,Travel_Rarely,19717,Human Resources,8,Life Sciences,1,4.0,Male,Manager,Single,6,0
515,37,Travel_Rarely,3034,Research & Development,14,Life Sciences,1,4.0,Female,Laboratory Technician,Divorced,1,0
1135,31,Travel_Frequently,2791,Sales,20,Life Sciences,1,3.0,Male,Sales Representative,Married,0,0
704,35,Non-Travel,1281,Research & Development,3,Life Sciences,1,3.0,Male,Laboratory Technician,Married,1,0
560,26,Travel_Rarely,2886,Research & Development,23,Life Sciences,1,,Female,Research Scientist,Divorced,1,0
1824,58,Non-Travel,16291,Sales,2,Medical,1,2.0,Male,Manager,Divorced,4,0
1631,37,Travel_Rarely,5768,Research & Development,19,Life Sciences,1,3.0,Male,Manufacturing Director,Married,3,0
1252,31,Travel_Rarely,6812,Research & Development,24,Medical,1,3.0,Female,Healthcare Representative,Single,1,0
1577,34,Travel_Rarely,2972,Research & Development,7,Medical,1,1.0,Male,Research Scientist,Single,1,0
1085,41,Travel_Rarely,3376,Research & Development,7,Technical Degree,1,2.0,Female,Research Scientist,Married,1,0
119,40,Travel_Frequently,13503,Research & Development,1,Life Sciences,1,3.0,Male,Healthcare Representative,Married,1,0
1499,30,Travel_Rarely,2064,Human Resources,1,Life Sciences,1,3.0,Male,Human Resources,Divorced,0,0
842,55,Travel_Rarely,5160,Sales,2,Medical,1,3.0,Male,Sales Executive,Single,4,1
743,38,Travel_Rarely,7861,Research & Development,1,Life Sciences,1,3.0,Female,Manufacturing Director,Single,4,0
2000,47,Non-Travel,11957,Research & Development,1,Medical,1,3.0,Female,Research Director,Married,0,0
1654,39,Travel_Rarely,5295,Research & Development,12,Medical,1,4.0,Male,Manufacturing Director,Married,4,0
1245,54,Travel_Frequently,10502,Research & Development,1,Life Sciences,1,4.0,Female,Manufacturing Director,Divorced,7,0
1084,30,Travel_Rarely,9957,Research & Development,20,Other,1,,Male,Manufacturing Director,Married,0,0
42,39,Travel_Rarely,2086,Sales,5,Technical Degree,1,4.0,Male,Sales Representative,Married,3,1
1224,30,Travel_Rarely,3491,Research & Development,7,Life Sciences,1,3.0,Male,Laboratory Technician,Divorced,1,0
420,32,Travel_Rarely,5484,Sales,7,Life Sciences,1,4.0,Male,Sales Executive,Married,1,0
1165,29,Travel_Rarely,7336,Sales,23,Life Sciences,1,4.0,Female,Sales Executive,Married,1,1
1028,35,Travel_Rarely,3917,Research & Development,10,Other,1,2.0,Male,Laboratory Technician,Divorced,1,0
1009,24,Travel_Rarely,4377,Research & Development,17,Medical,1,,Female,Manufacturing Director,Divorced,1,0
612,33,Travel_Rarely,16184,Research & Development,1,Medical,1,1.0,Female,Research Director,Divorced,4,0
1268,33,Travel_Rarely,8380,Sales,10,Marketing,1,4.0,Male,Sales Executive,Divorced,0,0
1954,29,Travel_Rarely,5373,Research & Development,1,Life Sciences,1,1.0,Male,Healthcare Representative,Married,0,0
1943,42,Travel_Rarely,5087,Sales,12,Marketing,1,2.0,Male,Sales Executive,Divorced,3,0
239,30,Non-Travel,3072,Research & Development,9,Medical,1,3.0,Male,Laboratory Technician,Divorced,1,0
252,33,Travel_Rarely,2756,Research & Development,14,Medical,1,4.0,Female,Research Scientist,Married,1,0
72,26,Travel_Rarely,4157,Sales,23,Marketing,1,3.0,Female,Sales Executive,Married,7,0
70,35,Non-Travel,9884,Research & Development,11,Medical,1,,Male,Healthcare Representative,Married,2,0
139,37,Non-Travel,5163,Research & Development,2,Life Sciences,1,,Male,Healthcare Representative,Divorced,5,0
787,55,Travel_Rarely,19859,Research & Development,2,Medical,1,4.0,Male,Manager,Married,5,1
1198,20,Travel_Rarely,3033,Research & Development,3,Life Sciences,1,1.0,Male,Laboratory Technician,Single,1,0
1395,33,Travel_Frequently,9998,Sales,5,Life Sciences,1,2.0,Male,Sales Executive,Married,6,0
384,26,Travel_Frequently,6397,Research & Development,1,Life Sciences,1,3.0,Female,Manufacturing Director,Divorced,1,0
924,36,Travel_Rarely,6586,Research & Development,14,Life Sciences,1,3.0,Male,Healthcare Representative,Married,0,0
829,36,Travel_Rarely,2143,Human Resources,13,Human Resources,1,3.0,Male,Human Resources,Married,4,0
684,45,Travel_Frequently,4286,Sales,26,Life Sciences,1,1.0,Female,Sales Executive,Married,2,1
699,36,Travel_Rarely,8847,Research & Development,9,Medical,1,2.0,Male,Manufacturing Director,Divorced,2,0
1514,28,Travel_Rarely,6549,Research & Development,29,Life Sciences,1,3.0,Male,Manufacturing Director,Married,1,0
1433,31,Travel_Rarely,1261,Research & Development,8,Life Sciences,1,,Female,Research Scientist,Single,1,1
591,42,Travel_Frequently,2093,Research & Development,5,Other,1,2.0,Male,Laboratory Technician,Married,4,0
1475,44,Travel_Rarely,3420,Research & Development,20,Life Sciences,1,4.0,Male,Research Scientist,Single,1,0
18,34,Travel_Rarely,2661,Research & Development,19,Medical,1,2.0,Male,Laboratory Technician,Divorced,0,0
477,42,Travel_Rarely,6781,Research & Development,2,Other,1,1.0,Male,Healthcare Representative,Single,3,0
1822,40,Travel_Rarely,6513,Research & Development,1,Life Sciences,1,,Female,Healthcare Representative,Divorced,4,0
649,34,Travel_Rarely,3622,Research & Development,1,Life Sciences,1,,Male,Research Scientist,Married,1,0
175,31,Travel_Rarely,4559,Sales,20,Life Sciences,1,2.0,Female,Sales Executive,Married,3,1
780,33,Travel_Rarely,2686,Research & Development,1,Other,1,4.0,Male,Research Scientist,Single,1,1
106,55,Travel_Rarely,10239,Sales,1,Life Sciences,1,1.0,Male,Sales Executive,Married,3,0
101,45,Travel_Rarely,13245,Research & Development,6,Other,1,4.0,Male,Research Director,Married,4,0
1003,47,Travel_Rarely,4163,Sales,4,Life Sciences,1,4.0,Female,Sales Executive,Single,1,0
1702,23,Travel_Rarely,2275,Sales,7,Life Sciences,1,3.0,Male,Sales Representative,Divorced,1,1
31,34,Travel_Rarely,2960,Research & Development,6,Medical,1,2.0,Male,Research Scientist,Single,2,1
332,39,Travel_Rarely,2232,Research & Development,1,Medical,1,3.0,Female,Laboratory Technician,Divorced,7,0
2010,32,Travel_Rarely,2837,Research & Development,29,Life Sciences,1,3.0,Female,Laboratory Technician,Single,1,0
1583,38,Travel_Rarely,4198,Sales,16,Life Sciences,1,2.0,Female,Sales Executive,Single,2,0
945,48,Travel_Rarely,2259,Research & Development,20,Medical,1,4.0,Male,Research Scientist,Married,4,0
606,45,Travel_Rarely,4805,Sales,2,Other,1,4.0,Male,Sales Executive,Married,0,0
76,31,Travel_Rarely,5915,Research & Development,7,Life Sciences,1,4.0,Male,Laboratory Technician,Divorced,3,0
1217,46,Travel_Rarely,19081,Research & Development,15,Life Sciences,1,4.0,Male,Research Director,Married,5,0
869,28,Travel_Rarely,4936,Human Resources,8,Medical,1,2.0,Male,Human Resources,Divorced,1,0
1568,30,Travel_Rarely,9250,Sales,29,Technical Degree,1,3.0,Male,Sales Executive,Married,3,0
1264,29,Travel_Rarely,16124,Research & Development,1,Life Sciences,1,4.0,Female,Research Director,Divorced,3,0
1740,40,Travel_Rarely,19833,Sales,7,Medical,1,2.0,Male,Manager,Single,1,0
1724,40,Travel_Rarely,6516,Research & Development,8,Life Sciences,1,2.0,Female,Manufacturing Director,Married,2,0
1797,35,Travel_Rarely,5813,Sales,27,Life Sciences,1,3.0,Male,Sales Executive,Single,1,1
1296,28,Travel_Frequently,3867,Research & Development,2,Life Sciences,1,4.0,Male,Laboratory Technician,Married,1,0
14,35,Travel_Rarely,2426,Research & Development,16,Medical,1,1.0,Male,Laboratory Technician,Married,0,0
283,29,Travel_Rarely,7639,Sales,27,Marketing,1,2.0,Female,Sales Executive,Married,1,1
683,34,Travel_Rarely,2691,Research & Development,1,Life Sciences,1,2.0,Male,Research Scientist,Married,1,0
749,29,Travel_Rarely,2642,Sales,10,Life Sciences,1,3.0,Male,Sales Representative,Single,1,0
1185,35,Travel_Frequently,2376,Research & Development,4,Other,1,4.0,Male,Laboratory Technician,Married,1,0
1863,46,Travel_Rarely,13225,Sales,3,Technical Degree,1,1.0,Female,Sales Executive,Divorced,2,0
1419,29,Travel_Rarely,7988,Human Resources,17,Other,1,,Male,Human Resources,Single,1,0
1331,31,Travel_Frequently,2302,Sales,1,Life Sciences,1,,Female,Sales Representative,Single,1,1
62,46,Travel_Frequently,5772,Sales,5,Marketing,1,,Male,Sales Executive,Single,4,0
820,47,Travel_Rarely,16752,Research & Development,2,Other,1,3.0,Female,Manager,Married,1,0
1046,32,Non-Travel,4025,Research & Development,29,Medical,1,4.0,Female,Laboratory Technician,Single,9,0
1471,44,Non-Travel,3162,Research & Development,5,Life Sciences,1,3.0,Male,Laboratory Technician,Single,3,0
483,40,Travel_Rarely,2213,Research & Development,10,Life Sciences,1,4.0,Female,Laboratory Technician,Married,3,0
292,30,Non-Travel,8474,Research & Development,1,Life Sciences,1,3.0,Male,Manufacturing Director,Single,1,0
1947,28,Non-Travel,2144,Research & Development,16,Medical,1,3.0,Male,Research Scientist,Single,1,0
827,42,Travel_Rarely,6062,Research & Development,1,Life Sciences,1,,Female,Manufacturing Director,Married,9,0
608,26,Travel_Frequently,2741,Human Resources,17,Life Sciences,1,,Female,Human Resources,Divorced,0,1
406,35,Travel_Rarely,8020,Sales,16,Marketing,1,3.0,Male,Sales Executive,Married,0,0
1346,40,Travel_Rarely,4661,Research & Development,2,Life Sciences,1,3.0,Male,Research Scientist,Single,1,0
1285,34,Travel_Frequently,4444,Research & Development,19,Medical,1,3.0,Female,Laboratory Technician,Divorced,4,0
862,53,Travel_Rarely,10934,Sales,7,Marketing,1,1.0,Female,Sales Executive,Married,7,0
578,54,Travel_Rarely,3780,Research & Development,8,Life Sciences,1,3.0,Female,Laboratory Technician,Single,7,0
