ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
459483,Male,Yes,55,Yes,Artist,1.0,Average,2.0,Cat_7,A
463763,Male,Yes,36,Yes,Artist,4.0,Average,2.0,Cat_6,C
467191,Female,Yes,31,No,Homemaker,12.0,Average,2.0,Cat_6,B
466844,Male,No,18,No,Healthcare,0.0,Low,5.0,Cat_6,D
465787,Male,No,18,No,Healthcare,1.0,Low,5.0,Cat_4,D
467794,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_3,D
461293,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
466173,Male,No,28,No,Entertainment,1.0,Low,,Cat_3,A
466776,Male,Yes,86,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
464532,Female,Yes,68,Yes,Lawyer,0.0,High,2.0,Cat_6,A
460644,Female,Yes,40,Yes,Homemaker,2.0,Average,2.0,Cat_3,C
462217,Female,No,42,Yes,Executive,,Low,1.0,Cat_4,B
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A
464387,Female,No,27,Yes,Artist,9.0,Low,5.0,Cat_6,B
459711,Male,Yes,37,No,Executive,9.0,High,6.0,Cat_6,D
465027,Male,Yes,41,Yes,Doctor,0.0,Low,2.0,Cat_6,B
467260,Male,No,27,No,Doctor,9.0,Low,4.0,Cat_6,D
465983,Male,,19,No,Healthcare,0.0,Low,3.0,Cat_6,D
459129,Female,No,26,Yes,Marketing,9.0,Low,,Cat_3,D
462686,Male,Yes,41,Yes,Entertainment,9.0,Average,4.0,,A
467013,Male,Yes,66,Yes,Executive,0.0,High,2.0,Cat_6,C
460951,Female,Yes,55,No,Engineer,1.0,Average,7.0,Cat_6,A
462980,Male,No,28,Yes,Entertainment,1.0,Low,5.0,Cat_6,C
466651,Male,No,40,No,Entertainment,5.0,Low,1.0,Cat_3,A
460353,Male,No,31,Yes,,6.0,Low,1.0,Cat_4,D
461302,Male,No,20,No,Healthcare,0.0,Low,4.0,Cat_6,D
459539,Female,No,35,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
466647,Female,Yes,41,Yes,Artist,7.0,High,2.0,Cat_6,C
464069,Female,Yes,83,Yes,Lawyer,1.0,High,2.0,Cat_6,A
459022,Male,Yes,67,Yes,Artist,10.0,Low,1.0,Cat_6,D
462860,Male,No,30,Yes,Healthcare,8.0,Low,5.0,Cat_6,D
462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C
460457,Female,No,43,Yes,Entertainment,8.0,Low,,Cat_3,A
467107,Male,Yes,36,Yes,Engineer,1.0,Average,3.0,Cat_4,B
462208,Female,Yes,33,No,Engineer,7.0,Average,5.0,Cat_4,B
461343,Male,Yes,27,Yes,Artist,6.0,Average,2.0,Cat_6,B
467232,Male,No,33,No,Entertainment,0.0,Low,2.0,Cat_6,A
467568,Male,No,42,Yes,Artist,8.0,Low,,Cat_6,A
463433,Female,Yes,50,Yes,Doctor,0.0,Low,3.0,Cat_6,C
465129,Female,No,61,Yes,Entertainment,3.0,Low,1.0,Cat_6,A
464716,Male,Yes,43,Yes,Marketing,0.0,High,6.0,Cat_4,D
465335,Male,Yes,61,No,Entertainment,1.0,Average,2.0,Cat_7,B
460167,Female,No,18,No,Entertainment,1.0,Low,5.0,Cat_2,C
465228,Male,Yes,62,Yes,Artist,0.0,High,2.0,Cat_6,C
460021,Female,Yes,48,Yes,Artist,0.0,Average,4.0,Cat_6,B
464080,Female,No,41,Yes,Artist,1.0,Low,2.0,Cat_6,C
465796,Female,Yes,65,Yes,Artist,0.0,Average,4.0,Cat_4,C
459065,Male,Yes,51,Yes,Engineer,,Low,2.0,Cat_6,D
464895,Male,No,19,No,Doctor,1.0,Low,5.0,Cat_4,C
464107,Male,Yes,70,No,Artist,1.0,Average,2.0,Cat_6,C
460559,Female,No,49,Yes,Healthcare,8.0,Low,1.0,Cat_3,D
466055,Male,Yes,52,Yes,Entertainment,1.0,Average,3.0,Cat_4,B
464813,Male,Yes,45,Yes,Engineer,5.0,Average,5.0,Cat_6,B
464933,Male,No,25,No,,0.0,Low,1.0,Cat_4,D
466566,Male,No,43,Yes,Artist,1.0,Low,1.0,Cat_6,B
464575,Male,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,A
466860,Male,No,21,No,Marketing,0.0,Low,5.0,Cat_1,C
463386,Female,Yes,43,Yes,Doctor,6.0,Low,1.0,Cat_3,B
462778,Male,Yes,60,Yes,Entertainment,0.0,Low,,Cat_6,D
467247,Female,No,26,No,Engineer,0.0,Low,2.0,Cat_6,D
465152,Male,No,43,Yes,Artist,1.0,Low,3.0,Cat_6,B
464658,Male,Yes,33,No,Artist,1.0,Average,2.0,Cat_4,B
464379,Female,Yes,40,Yes,Engineer,12.0,Average,3.0,Cat_6,B
462218,Male,Yes,53,No,Executive,0.0,Average,5.0,Cat_4,B
462630,Male,No,32,No,Doctor,,Low,6.0,Cat_4,D
467114,Male,Yes,59,Yes,Marketing,0.0,Average,3.0,Cat_6,B
467209,Female,No,35,Yes,Healthcare,1.0,Low,1.0,Cat_6,D
465470,Female,Yes,61,No,Engineer,1.0,Average,2.0,Cat_6,C
459068,Female,No,33,Yes,Healthcare,2.0,Low,2.0,Cat_6,A
467544,Male,Yes,56,No,Artist,0.0,Low,2.0,,C
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D
461601,Male,Yes,36,Yes,Artist,,Average,2.0,Cat_6,C
459974,Male,No,37,Yes,Entertainment,0.0,Low,1.0,Cat_6,A
467327,Male,Yes,52,Yes,Artist,3.0,Average,4.0,Cat_6,C
460163,Male,No,28,No,Healthcare,0.0,Low,2.0,Cat_4,A
467006,Female,No,73,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
461620,Male,No,52,Yes,Entertainment,1.0,Low,2.0,Cat_6,B
465610,Female,No,42,Yes,Artist,8.0,Low,2.0,Cat_6,C
459812,Female,No,43,Yes,Engineer,0.0,Low,1.0,Cat_3,A
460253,Male,Yes,52,Yes,Artist,4.0,Average,2.0,Cat_6,B
463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
466338,Female,No,39,No,Engineer,0.0,Low,3.0,Cat_4,A
464847,Female,Yes,52,No,Artist,,Average,4.0,Cat_4,A
460107,Male,Yes,51,Yes,Engineer,1.0,Average,5.0,Cat_6,C
463615,Female,Yes,58,Yes,Artist,,Average,2.0,Cat_6,C
461237,Male,No,30,Yes,Doctor,0.0,Low,5.0,Cat_2,A
466167,Male,Yes,56,No,,1.0,Low,2.0,Cat_4,B
466323,Male,No,28,No,Doctor,4.0,Low,1.0,Cat_3,B
465581,Male,Yes,38,Yes,Artist,0.0,Low,4.0,Cat_3,A
459543,Male,Yes,70,No,Executive,1.0,High,2.0,Cat_6,A
462358,Male,Yes,37,No,Doctor,4.0,Average,2.0,Cat_6,A
463018,Female,No,40,Yes,Homemaker,9.0,Low,1.0,Cat_6,D
462936,Female,No,43,Yes,Engineer,,Low,1.0,Cat_6,A
460619,Male,No,52,Yes,Entertainment,,Low,,Cat_3,C
467803,Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,Cat_6,B
467743,Male,Yes,48,No,Executive,1.0,High,4.0,Cat_1,B
464056,Female,Yes,65,Yes,Artist,0.0,Average,2.0,Cat_6,C
464541,Male,No,31,Yes,Doctor,1.0,Low,2.0,Cat_6,A
460980,Male,No,26,No,Entertainment,1.0,Low,3.0,Cat_3,D
464488,Female,No,40,Yes,Artist,5.0,Low,9.0,Cat_6,C
467708,Female,No,42,Yes,Healthcare,8.0,Low,1.0,Cat_7,D
465009,Male,Yes,51,Yes,Entertainment,0.0,Average,4.0,Cat_6,C
462100,Female,No,40,Yes,Healthcare,0.0,Low,1.0,Cat_2,D
463094,Male,Yes,40,Yes,Engineer,12.0,Average,3.0,Cat_6,A
460154,Male,No,29,Yes,Entertainment,8.0,Low,4.0,Cat_6,C
461933,Male,No,18,No,Doctor,0.0,Low,2.0,Cat_5,D
467741,Male,No,21,No,Healthcare,1.0,Low,3.0,Cat_4,D
460748,Female,Yes,60,No,Engineer,0.0,Low,2.0,Cat_3,A
462281,Male,Yes,47,Yes,Artist,0.0,Low,2.0,Cat_6,C
461780,Female,No,65,Yes,Lawyer,0.0,Low,5.0,Cat_6,A
459163,Male,No,42,Yes,Entertainment,1.0,Low,1.0,Cat_6,A
460725,Male,Yes,41,Yes,Artist,0.0,High,2.0,Cat_2,B
461045,Female,No,29,No,Entertainment,0.0,Low,2.0,Cat_3,B
458989,Female,Yes,42,Yes,Engineer,1.0,Low,1.0,Cat_6,B
461875,Male,No,33,No,Doctor,0.0,Low,3.0,Cat_6,B
462201,Female,No,32,Yes,Healthcare,0.0,Low,1.0,Cat_4,D
465782,Female,No,21,No,Healthcare,5.0,Low,5.0,Cat_3,D
460450,Male,Yes,52,Yes,Executive,1.0,High,4.0,Cat_4,B
462483,Male,Yes,63,Yes,,1.0,Average,2.0,Cat_6,C
463976,Female,No,29,No,Healthcare,5.0,Low,4.0,Cat_4,A
462309,Male,No,30,Yes,Healthcare,,Low,1.0,Cat_6,D
460760,Male,Yes,60,No,Artist,1.0,High,4.0,Cat_3,B
464086,Male,Yes,42,Yes,Artist,1.0,Average,4.0,Cat_6,B
466424,Female,Yes,42,Yes,Engineer,1.0,High,3.0,Cat_3,A
462943,Male,Yes,61,Yes,Executive,5.0,High,2.0,Cat_6,B
464707,Male,Yes,48,No,,1.0,Average,4.0,Cat_4,A
459487,Male,Yes,67,No,Lawyer,,Low,,Cat_6,D
460651,Male,No,32,No,Homemaker,8.0,Low,,Cat_4,A
463748,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_6,D
463128,Male,Yes,73,Yes,Lawyer,0.0,High,4.0,Cat_6,A
462557,Female,Yes,58,No,Engineer,,Average,2.0,Cat_4,C
460855,Male,Yes,45,Yes,Artist,,Low,2.0,Cat_6,A
467737,Female,Yes,51,Yes,Entertainment,7.0,Average,2.0,Cat_6,A
460606,Male,No,20,No,Healthcare,,Low,5.0,Cat_7,D
460815,Male,Yes,55,Yes,Artist,0.0,High,2.0,Cat_3,A
467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
463068,Male,Yes,26,Yes,Artist,9.0,Average,2.0,Cat_6,B
465944,Female,Yes,36,No,Engineer,4.0,High,3.0,Cat_7,A
464550,Male,Yes,50,Yes,Artist,,Low,4.0,Cat_6,C
459109,Male,Yes,49,Yes,Entertainment,7.0,Average,4.0,Cat_6,C
460914,Female,No,36,Yes,Artist,9.0,Low,2.0,Cat_6,C
462089,Female,Yes,42,Yes,Artist,0.0,Average,2.0,Cat_6,C
463914,Female,Yes,27,No,Artist,,Low,2.0,Cat_6,A
461398,Male,No,20,No,Doctor,0.0,Low,4.0,Cat_6,D
463428,Male,Yes,28,No,Executive,1.0,High,5.0,Cat_6,A
467257,Male,No,22,No,Healthcare,10.0,Low,4.0,Cat_6,D
464339,Male,No,26,No,Artist,0.0,Low,2.0,Cat_6,D
462111,Male,Yes,36,Yes,Artist,6.0,Average,4.0,Cat_6,C
462861,Female,No,26,Yes,Healthcare,8.0,Low,1.0,Cat_6,D
464254,Male,Yes,63,Yes,Entertainment,0.0,Average,3.0,Cat_6,C
463481,Female,Yes,37,Yes,Artist,,Average,3.0,Cat_7,B
465560,Male,Yes,60,Yes,Entertainment,1.0,Average,5.0,Cat_3,B
465687,Male,Yes,88,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
463010,Male,Yes,81,No,Executive,0.0,Low,1.0,Cat_6,D
459772,Female,Yes,69,Yes,Artist,2.0,Average,9.0,Cat_5,C
459092,Male,Yes,60,Yes,Executive,0.0,High,4.0,Cat_6,B
463392,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_4,B
461863,Male,No,33,No,Doctor,2.0,Low,4.0,Cat_6,A
465467,Male,,33,No,Healthcare,1.0,Low,3.0,Cat_6,C
463456,Male,Yes,46,No,Entertainment,1.0,High,3.0,Cat_6,B
463227,Female,Yes,35,Yes,Engineer,1.0,Average,2.0,Cat_6,A
463507,Male,Yes,49,No,Artist,1.0,Low,1.0,Cat_6,C
465766,Male,Yes,38,No,Entertainment,1.0,Low,3.0,Cat_4,A
459200,Female,Yes,39,Yes,Artist,2.0,Average,4.0,Cat_6,C
459598,Male,Yes,40,No,Artist,,Average,2.0,Cat_4,A
463964,Male,No,33,No,Healthcare,1.0,Low,4.0,Cat_6,C
464178,Male,No,29,Yes,Doctor,3.0,Low,3.0,Cat_4,A
464802,Male,No,40,No,Entertainment,1.0,Low,1.0,Cat_4,A
461068,Male,No,46,No,Marketing,1.0,Low,4.0,Cat_3,D
465896,Male,No,32,No,Doctor,2.0,Low,2.0,Cat_6,D
466515,Male,Yes,52,No,Executive,9.0,Average,4.0,Cat_6,A
460456,Male,Yes,33,No,Executive,0.0,High,5.0,Cat_3,D
462413,Male,Yes,46,Yes,Artist,0.0,Average,3.0,Cat_6,C
463493,Male,Yes,42,Yes,Executive,,High,4.0,Cat_6,B
461635,Male,Yes,43,Yes,Executive,6.0,High,3.0,Cat_6,C
460145,Female,No,36,Yes,Artist,0.0,Low,1.0,Cat_2,B
467879,Female,Yes,51,Yes,Artist,,High,4.0,Cat_6,C
462685,Female,No,32,No,Healthcare,,Low,3.0,Cat_4,D
461814,Female,No,37,Yes,Artist,1.0,Low,1.0,Cat_3,A
466397,Male,No,20,No,Healthcare,0.0,Low,3.0,Cat_3,D
464976,Male,Yes,75,No,Lawyer,1.0,Low,1.0,Cat_4,D
463205,Female,No,25,No,Doctor,0.0,Low,4.0,Cat_6,D
465029,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,C
465404,Female,Yes,25,Yes,Entertainment,0.0,Average,2.0,Cat_1,A
466781,Male,Yes,35,Yes,Artist,1.0,Average,4.0,Cat_3,A
460952,Male,Yes,38,No,Doctor,0.0,Average,5.0,Cat_6,A
465016,Male,Yes,78,No,Executive,0.0,High,2.0,Cat_6,B
465806,Female,No,26,Yes,Marketing,0.0,Low,2.0,Cat_3,A
462906,Female,No,31,No,Healthcare,0.0,Low,4.0,Cat_6,D
461135,Female,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,D
460639,Female,Yes,73,Yes,Lawyer,,Low,5.0,Cat_1,D
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
460088,Female,Yes,33,Yes,Homemaker,,High,2.0,Cat_6,D
462496,Male,Yes,45,No,Artist,1.0,Average,3.0,Cat_6,A
466557,Female,No,21,No,Healthcare,7.0,Low,,Cat_6,D
465828,Female,No,29,No,Entertainment,9.0,Low,4.0,Cat_4,D
462570,Female,No,29,No,Homemaker,1.0,Low,6.0,Cat_6,D
459546,Female,Yes,81,No,Lawyer,,High,2.0,Cat_6,B
461867,Male,No,30,Yes,Artist,0.0,Low,4.0,Cat_6,A
459368,Male,Yes,28,No,Executive,,Low,7.0,Cat_4,A
463581,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
467045,Male,Yes,51,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
461911,Male,Yes,57,No,Executive,0.0,Low,1.0,Cat_6,A
464743,Male,Yes,45,Yes,Entertainment,0.0,Average,2.0,Cat_4,B
465418,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_1,A
462955,Male,Yes,42,Yes,Artist,1.0,Low,2.0,Cat_3,B
459983,Female,Yes,50,Yes,Artist,2.0,Low,1.0,Cat_6,B
466496,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,B
466295,Female,Yes,42,No,Engineer,0.0,Low,,Cat_6,A
465536,Female,Yes,30,Yes,Doctor,,Average,2.0,Cat_3,B
462024,Male,No,33,Yes,Entertainment,1.0,Low,8.0,Cat_4,C
459127,Male,No,43,Yes,Healthcare,1.0,Low,7.0,Cat_6,D
464277,Male,No,25,Yes,Artist,2.0,Low,1.0,Cat_6,A
465382,Female,No,39,Yes,Artist,0.0,Low,,Cat_6,B
461562,Male,Yes,51,Yes,Artist,,Average,4.0,Cat_2,C
459582,Male,Yes,27,No,Entertainment,,Average,3.0,Cat_6,A
464061,Male,Yes,30,Yes,Artist,12.0,Average,2.0,Cat_6,B
464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D
462193,Male,No,28,Yes,Healthcare,,Low,6.0,Cat_4,B
459051,Male,Yes,66,Yes,Artist,,Average,2.0,Cat_6,C
466044,Male,Yes,27,No,Entertainment,0.0,Average,4.0,Cat_6,A
463351,Female,No,22,,Healthcare,3.0,Low,4.0,Cat_5,D
462640,Male,Yes,27,No,Executive,,Low,2.0,Cat_4,D
460669,Male,,48,Yes,Executive,0.0,Low,2.0,Cat_1,B
463321,Male,No,22,No,Healthcare,1.0,Low,3.0,Cat_1,D
459770,Female,Yes,48,Yes,Artist,8.0,Average,2.0,Cat_6,A
465503,Male,No,35,Yes,Artist,8.0,Low,2.0,Cat_6,D
459990,Male,Yes,37,Yes,Healthcare,1.0,Average,2.0,Cat_6,A
461683,Male,Yes,43,Yes,Executive,1.0,High,4.0,Cat_6,B
462596,Female,No,31,No,Healthcare,0.0,Low,,Cat_4,D
463298,Male,Yes,50,No,Entertainment,0.0,Low,2.0,Cat_6,A
464583,Female,No,37,Yes,Engineer,7.0,Low,,Cat_6,A
462032,Female,Yes,69,Yes,Artist,0.0,Low,2.0,Cat_6,C
463943,Male,No,71,Yes,Entertainment,1.0,Low,2.0,Cat_6,C
461511,Male,Yes,35,No,Doctor,9.0,Low,2.0,Cat_6,B
465407,Female,No,27,Yes,Homemaker,3.0,Low,7.0,Cat_6,D
466178,Female,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,C
466763,Male,Yes,55,Yes,Homemaker,0.0,Low,4.0,Cat_6,B
466377,Male,Yes,62,Yes,,8.0,Average,2.0,Cat_6,C
460346,Female,Yes,40,Yes,Artist,12.0,Average,,Cat_6,C
461818,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,C
461003,Male,No,30,No,Executive,13.0,Low,4.0,Cat_3,D
462553,Male,No,27,No,Artist,1.0,Low,1.0,Cat_6,B
459027,Male,Yes,67,Yes,Doctor,1.0,Average,4.0,Cat_6,B
466294,Male,Yes,27,Yes,Healthcare,0.0,Low,5.0,Cat_4,D
464827,Female,Yes,46,No,Entertainment,9.0,Average,5.0,Cat_4,D
463930,Male,Yes,49,Yes,Artist,1.0,Average,2.0,Cat_6,C
463760,Female,No,27,No,Doctor,1.0,Low,,,A
467898,Female,Yes,68,Yes,Artist,0.0,Low,1.0,Cat_6,C
464738,Female,Yes,66,No,Engineer,0.0,Average,2.0,Cat_4,A
463290,Female,No,25,No,Healthcare,1.0,Low,5.0,Cat_6,B
467802,Female,Yes,47,Yes,Artist,0.0,High,5.0,Cat_6,C
460028,Male,Yes,39,Yes,Healthcare,11.0,Average,2.0,Cat_2,D
465537,Female,Yes,56,Yes,Artist,0.0,High,5.0,Cat_3,A
463228,Female,Yes,56,Yes,Artist,0.0,Average,5.0,Cat_6,B
463731,Male,No,23,No,Healthcare,0.0,Low,,Cat_6,D
462495,Male,Yes,84,No,Lawyer,0.0,High,2.0,Cat_6,A
462951,Male,Yes,73,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
462969,Male,Yes,58,Yes,Artist,8.0,Low,1.0,Cat_3,B
460777,Male,Yes,74,No,Lawyer,0.0,Low,1.0,Cat_6,D
462746,Male,No,29,No,Entertainment,1.0,Low,3.0,Cat_6,B
464335,Male,Yes,50,Yes,Executive,4.0,High,3.0,Cat_6,C
461952,Female,Yes,19,No,Artist,,High,2.0,Cat_4,D
459789,Male,Yes,56,No,Artist,1.0,Average,2.0,Cat_6,C
462775,Female,No,18,No,Healthcare,7.0,Low,3.0,Cat_6,D
467109,Male,No,38,No,Doctor,0.0,Low,5.0,Cat_3,D
459058,Male,No,40,Yes,Artist,1.0,Low,4.0,Cat_3,A
459146,Male,Yes,69,Yes,Artist,1.0,Low,2.0,Cat_6,A
462992,Female,Yes,56,Yes,Engineer,,High,3.0,Cat_3,B
460236,Male,No,18,No,Healthcare,8.0,Low,4.0,Cat_6,D
461845,Female,Yes,48,Yes,Doctor,1.0,Average,4.0,Cat_6,C
465199,Male,Yes,32,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
467885,Female,No,43,Yes,Doctor,0.0,Low,,Cat_4,A
463883,Male,No,30,No,Healthcare,0.0,Low,2.0,Cat_4,B
461502,Female,No,37,Yes,Artist,9.0,Low,1.0,Cat_6,B
467062,Female,No,55,Yes,Artist,1.0,Low,1.0,Cat_3,A
459564,Male,Yes,80,Yes,Lawyer,2.0,Low,1.0,Cat_6,A
460058,Male,Yes,46,Yes,Artist,0.0,Low,1.0,Cat_4,B
462595,Female,No,29,Yes,Artist,7.0,Low,7.0,Cat_4,D
467783,Female,Yes,53,Yes,Artist,0.0,Average,3.0,Cat_6,C
462372,Female,Yes,65,No,Lawyer,,High,2.0,Cat_6,A
461924,Female,Yes,89,No,Lawyer,1.0,High,3.0,Cat_6,B
463614,Female,No,26,No,Healthcare,1.0,Low,4.0,Cat_3,C
465054,Male,Yes,67,Yes,Executive,1.0,High,3.0,Cat_6,C
464407,Female,Yes,50,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
461015,Male,Yes,40,Yes,Entertainment,1.0,Average,2.0,Cat_3,C
460017,Male,Yes,41,Yes,Artist,7.0,High,2.0,Cat_3,C
463746,Male,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,A
459241,Male,Yes,46,No,Entertainment,,Low,5.0,Cat_6,D
464982,Male,Yes,71,Yes,Executive,1.0,High,4.0,Cat_6,B
462814,Female,Yes,22,No,Engineer,8.0,Average,2.0,Cat_5,C
467501,Male,No,48,Yes,Entertainment,1.0,Low,2.0,Cat_6,D
465067,Male,Yes,62,Yes,Executive,8.0,High,2.0,Cat_6,C
461210,Female,No,38,Yes,Healthcare,0.0,Low,4.0,Cat_6,A
463130,Female,Yes,78,No,Lawyer,1.0,High,2.0,Cat_6,B
461226,Male,Yes,51,Yes,,1.0,Low,2.0,Cat_6,D
462665,Female,Yes,59,Yes,Artist,4.0,Average,4.0,Cat_7,C
464806,Male,Yes,25,No,Executive,1.0,Low,2.0,Cat_4,D
461953,Male,Yes,33,No,Healthcare,11.0,High,2.0,Cat_6,D
461773,Male,Yes,69,Yes,Entertainment,1.0,High,3.0,Cat_6,B
461349,Male,No,26,Yes,Doctor,0.0,Low,5.0,Cat_6,D
459135,Male,Yes,53,Yes,Executive,0.0,High,4.0,Cat_6,C
460919,Female,No,19,No,Healthcare,0.0,Low,,Cat_6,D
465150,Male,No,41,Yes,Entertainment,0.0,Low,1.0,Cat_6,A
462255,Male,Yes,73,Yes,Executive,1.0,High,3.0,Cat_6,C
465137,Male,Yes,57,Yes,Artist,1.0,Average,4.0,Cat_6,C
462738,Female,No,28,Yes,Healthcare,,Low,3.0,Cat_2,D
466065,Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3,D
467754,Male,Yes,35,Yes,Artist,,Average,4.0,Cat_6,C
459601,Female,No,23,No,Healthcare,,Low,2.0,Cat_7,D
466841,Male,No,21,No,Healthcare,1.0,Low,6.0,Cat_4,D
464652,Female,Yes,25,No,Engineer,7.0,Average,2.0,Cat_4,D
459986,Male,Yes,60,Yes,Artist,0.0,Low,1.0,Cat_6,B
463407,Female,No,33,No,Doctor,0.0,Low,1.0,Cat_3,D
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C
462149,Female,Yes,89,No,Lawyer,3.0,High,1.0,Cat_6,D
465982,Male,Yes,41,Yes,Entertainment,0.0,Average,4.0,Cat_6,B
465868,Male,No,35,Yes,Artist,6.0,Low,3.0,Cat_6,D
461284,Male,No,23,No,Artist,1.0,Low,4.0,Cat_6,D
466138,Male,Yes,71,No,Lawyer,3.0,High,2.0,Cat_6,D
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
