index,work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary
601,2023,EN,FT,Data Engineer,US,100.0,US,M,92700
590,2023,EX,FT,Data Engineer,US,,US,M,235000
2898,2022,SE,FT,Analytics Engineer,GB,100.0,GB,M,102663
3221,2022,MI,FT,Data Engineer,GR,100.0,GR,M,47280
2755,2022,SE,FT,Data Analyst,US,,US,M,99000
3257,2022,SE,FT,Data Analyst,US,,US,M,99000
2287,2022,MI,FT,Data Engineer,US,100.0,US,M,161000
3649,2021,SE,FT,Data Science Manager,IN,50.0,US,L,54094
2941,2022,SE,FT,Data Scientist,US,,US,M,175000
2896,2022,SE,FT,Data Scientist,US,100.0,US,M,191475
2902,2022,SE,FT,Data Engineer,GB,100.0,GB,M,104611
2601,2022,SE,FT,Data Scientist,US,100.0,US,M,50000
3287,2022,SE,FT,Data Architect,CA,100.0,CA,M,90700
3392,2022,SE,FT,Data Analyst,US,100.0,US,M,105000
424,2023,SE,FT,Data Engineer,US,,US,M,75000
25,2023,SE,FT,Business Intelligence Engineer,US,,US,M,225000
7,2023,SE,FT,Data Scientist,CA,,CA,M,219000
1563,2023,SE,FT,Data Analyst,ES,,ES,M,51508
565,2023,SE,FT,Data Scientist,US,100.0,US,M,275300
3415,2022,SE,FT,Data Scientist,US,100.0,US,M,104890
3577,2021,MI,FT,Computer Vision Software Engineer,DE,100.0,US,S,95746
3665,2021,MI,FT,Data Scientist,DE,50.0,DE,L,90734
2282,2022,SE,FT,Data Science Manager,US,,US,M,245100
955,2023,MI,FT,Data Analytics Manager,US,,US,M,140000
553,2023,EX,FT,Data Scientist,US,,US,M,145000
1811,2022,EN,FT,Data Scientist,US,,US,M,130000
2432,2022,SE,FT,Data Engineer,US,,US,M,225000
557,2023,SE,FT,Data Analyst,US,,US,M,153600
3502,2021,MI,FT,Data Engineer,US,100.0,US,L,200000
1731,2023,SE,FT,Data Engineer,US,,US,M,133300
761,2023,SE,FT,Machine Learning Engineer,US,,US,M,139500
2126,2022,SE,FT,Data Specialist,US,,US,M,110000
1623,2023,SE,FT,Data Scientist,US,,US,M,160000
870,2023,SE,FT,Machine Learning Engineer,US,,US,M,139500
3411,2022,EX,FT,Data Engineer,US,100.0,US,M,216000
2441,2022,SE,FT,Data Engineer,US,100.0,US,M,110000
156,2023,MI,FT,Applied Data Scientist,IN,100.0,IN,L,20670
530,2023,SE,FT,Machine Learning Engineer,US,100.0,US,M,184000
3149,2022,SE,FT,Data Analyst,US,,US,M,90320
2568,2022,MI,FT,Data Scientist,BR,100.0,BR,M,54000
2035,2022,SE,FT,Data Engineer,US,100.0,US,M,220000
2849,2022,SE,FT,Director of Data Science,FR,50.0,FR,L,57786
2410,2022,MI,FT,Data Analyst,US,,US,M,206000
3521,2021,SE,FT,Data Analytics Manager,US,100.0,US,M,120000
3682,2020,EN,FT,Data Engineer,JP,100.0,JP,S,41689
1624,2023,SE,FT,Data Scientist,US,100.0,US,M,205000
3239,2022,EX,FT,Data Engineer,US,100.0,US,M,200000
1649,2023,EX,FT,Data Engineer,US,,US,M,196200
237,2023,EX,FT,Data Engineer,US,,US,M,145000
2931,2022,SE,FT,Data Specialist,US,100.0,US,M,70000
1870,2022,MI,FT,Data Engineer,US,,US,M,95000
383,2023,SE,FT,Data Engineer,US,,US,M,200000
2450,2022,EN,FT,Data Engineer,GB,100.0,GB,M,61566
514,2023,SE,FT,Research Scientist,US,,US,M,150000
1287,2023,SE,FT,Machine Learning Engineer,US,100.0,US,M,188800
3673,2021,MI,FT,Data Scientist,ES,100.0,ES,L,37825
1251,2023,MI,FT,Data Scientist,US,,US,M,170000
3279,2022,SE,FT,Data Science Manager,US,100.0,US,M,137141
1683,2023,MI,FT,Machine Learning Engineer,US,50.0,US,L,219000
2265,2022,MI,FT,Data Analyst,US,,US,M,150000
113,2023,EN,FT,Research Scientist,US,50.0,US,L,220000
3137,2022,SE,FT,Machine Learning Engineer,US,100.0,US,L,131300
1946,2022,MI,FT,Data Engineer,IN,50.0,IN,L,35610
1510,2023,SE,FT,Data Engineer,US,100.0,US,M,160000
1202,2023,SE,FT,Data Scientist,US,100.0,US,M,182200
2255,2022,SE,FT,Data Analyst,US,,US,M,130000
3663,2020,MI,FT,Lead Data Analyst,US,100.0,US,L,87000
2983,2022,SE,FT,Data Analyst,US,,US,M,144100
1144,2023,SE,FT,Data Engineer,US,,US,M,160000
564,2023,MI,FT,Data Engineer,US,,US,M,140000
1785,2023,SE,FT,Data Architect,US,,US,M,113000
281,2023,SE,FT,Applied Scientist,US,100.0,US,M,184000
2866,2022,SE,FT,Data Scientist,US,100.0,US,M,141525
1249,2023,SE,FT,Research Scientist,ES,,ES,M,253750
2343,2022,SE,FT,Data Scientist,US,100.0,US,M,185000
510,2023,SE,FT,Data Analyst,US,,US,M,125600
1897,2022,MI,FT,Data Engineer,US,,US,M,105000
3212,2022,SE,FT,Data Scientist,US,,US,L,215300
1032,2023,SE,FT,Data Manager,GB,,GB,M,72946
2594,2022,SE,FT,Data Scientist,US,100.0,US,M,155000
2992,2022,SE,FT,Data Science Manager,US,100.0,US,M,206000
352,2023,SE,FT,Data Quality Analyst,US,,US,M,100000
486,2023,SE,FT,Data Scientist,US,100.0,US,M,200000
3547,2021,SE,FT,Data Analyst,BG,100.0,US,S,80000
1102,2023,SE,FT,Analytics Engineer,US,,US,M,140000
2869,2022,SE,FT,Applied Scientist,US,100.0,US,M,142800
2619,2022,SE,FT,Analytics Engineer,US,,US,M,120000
1936,2022,SE,FT,Machine Learning Engineer,US,,US,M,145000
1106,2023,SE,FT,Data Scientist,US,,US,M,245000
1351,2023,SE,FT,BI Developer,US,100.0,US,M,100000
574,2023,EN,FT,Applied Machine Learning Scientist,DE,50.0,DE,M,42923
1090,2023,SE,FT,Analytics Engineer,US,,US,M,106000
512,2023,SE,FT,Data Engineer,US,,US,M,115000
2979,2022,SE,FT,Data Scientist,US,100.0,US,M,120000
3062,2022,EN,FT,Applied Data Scientist,AT,50.0,AT,M,50000
1018,2023,SE,FT,Machine Learning Engineer,US,,US,M,106900
1461,2023,SE,FT,Data Scientist,US,100.0,US,M,154600
2440,2022,SE,FT,Data Engineer,US,100.0,US,M,161000
1968,2022,SE,FT,Research Scientist,US,,US,M,249500
2336,2022,SE,FT,Data Engineer,US,,US,M,185900
2062,2022,SE,FT,Data Engineer,US,100.0,US,M,129400
1973,2022,SE,FT,Data Analyst,US,100.0,US,M,127000
3022,2022,SE,FT,Machine Learning Engineer,US,,US,M,167100
3674,2020,MI,FT,Data Analyst,US,100.0,US,L,85000
3688,2021,MI,FT,Data Scientist,DE,50.0,DE,L,88654
287,2023,SE,FT,Data Engineer,US,100.0,US,M,146115
3332,2022,SE,FT,Data Analyst,US,100.0,US,M,116150
2518,2022,SE,FT,Machine Learning Engineer,US,100.0,US,M,210000
3412,2022,SE,FT,Data Engineer,US,100.0,US,M,210000
332,2023,SE,FT,Data Analyst,US,,US,M,140000
